id,n,magnitude
0,0,23
0,1,22
0,2,12
0,3,13
0,4,6
0,5,20
0,6,20
0,7,26
0,8,19
0,9,16
0,10,17
0,11,16
0,12,20
0,13,14
0,14,17
0,15,15
0,16,18
0,17,13
0,18,17
0,19,16
0,20,15
0,21,15
0,22,15
0,23,15
0,24,17
0,25,17
0,26,17
0,27,22
0,28,18
0,29,17
0,30,17
0,31,14
0,32,17
0,33,19
0,34,18
0,35,17
0,36,19
0,37,18
0,38,20
0,39,18
1,0,18
1,1,15
1,2,19
1,3,14
1,4,17
1,5,19
1,6,8
1,7,14
1,8,18
1,9,12
1,10,7
1,11,14
1,12,14
1,13,15
1,14,19
1,15,19
1,16,17
1,17,14
1,18,19
1,19,16
1,20,15
1,21,18
1,22,18
1,23,17
1,24,19
1,25,19
1,26,16
1,27,18
1,28,18
1,29,16
1,30,21
1,31,18
1,32,15
1,33,12
1,34,16
1,35,16
1,36,16
1,37,19
1,38,17
1,39,17
2,0,29
2,1,26
2,2,18
2,3,15
2,4,19
2,5,20
2,6,13
2,7,23
2,8,19
2,9,20
2,10,17
2,11,17
2,12,15
2,13,12
2,14,11
2,15,17
2,16,21
2,17,20
2,18,18
2,19,14
2,20,18
2,21,13
2,22,13
2,23,13
2,24,14
2,25,16
2,26,20
2,27,22
2,28,20
2,29,18
2,30,19
2,31,19
2,32,16
2,33,20
2,34,20
2,35,19
2,36,21
2,37,16
2,38,19
2,39,18
3,0,30
3,1,18
3,2,21
3,3,17
3,4,17
3,5,19
3,6,20
3,7,23
3,8,14
3,9,21
3,10,18
3,11,17
3,12,13
3,13,10
3,14,13
3,15,12
3,16,13
3,17,10
3,18,11
3,19,15
3,20,16
3,21,13
3,22,14
3,23,12
3,24,16
3,25,16
3,26,17
3,27,18
3,28,20
3,29,19
3,30,17
3,31,18
3,32,19
3,33,19
3,34,18
3,35,13
3,36,19
3,37,18
3,38,20
3,39,18
4,0,30
4,1,21
4,2,21
4,3,19
4,4,12
4,5,17
4,6,18
4,7,21
4,8,13
4,9,11
4,10,13
4,11,21
4,12,13
4,13,15
4,14,12
4,15,13
4,16,14
4,17,14
4,18,14
4,19,16
4,20,18
4,21,18
4,22,16
4,23,15
4,24,15
4,25,19
4,26,21
4,27,18
4,28,19
4,29,17
4,30,20
4,31,17
4,32,19
4,33,17
4,34,17
4,35,18
4,36,19
4,37,16
4,38,19
4,39,20
5,0,27
5,1,25
5,2,21
5,3,12
5,4,17
5,5,13
5,6,19
5,7,24
5,8,16
5,9,18
5,10,13
5,11,8
5,12,17
5,13,13
5,14,5
5,15,13
5,16,14
5,17,7
5,18,13
5,19,20
5,20,17
5,21,17
5,22,19
5,23,16
5,24,15
5,25,18
5,26,18
5,27,20
5,28,22
5,29,15
5,30,18
5,31,19
5,32,19
5,33,19
5,34,17
5,35,17
5,36,17
5,37,19
5,38,19
5,39,20
6,0,28
6,1,23
6,2,16
6,3,16
6,4,16
6,5,13
6,6,18
6,7,25
6,8,19
6,9,20
6,10,19
6,11,17
6,12,11
6,13,12
6,14,13
6,15,16
6,16,15
6,17,17
6,18,15
6,19,18
6,20,17
6,21,15
6,22,15
6,23,15
6,24,14
6,25,17
6,26,17
6,27,15
6,28,16
6,29,16
6,30,19
6,31,19
6,32,19
6,33,18
6,34,17
6,35,19
6,36,19
6,37,20
6,38,18
6,39,17
7,0,31
7,1,23
7,2,15
7,3,17
7,4,14
7,5,13
7,6,15
7,7,20
7,8,17
7,9,18
7,10,18
7,11,18
7,12,17
7,13,12
7,14,12
7,15,14
7,16,18
7,17,12
7,18,11
7,19,12
7,20,15
7,21,18
7,22,17
7,23,21
7,24,19
7,25,22
7,26,16
7,27,16
7,28,14
7,29,14
7,30,17
7,31,17
7,32,19
7,33,19
7,34,17
7,35,18
7,36,17
7,37,18
7,38,19
7,39,17
8,0,23
8,1,20
8,2,21
8,3,23
8,4,23
8,5,19
8,6,15
8,7,22
8,8,18
8,9,11
8,10,18
8,11,14
8,12,13
8,13,14
8,14,22
8,15,19
8,16,15
8,17,19
8,18,15
8,19,17
8,20,15
8,21,9
8,22,16
8,23,18
8,24,18
8,25,16
8,26,14
8,27,15
8,28,16
8,29,15
8,30,18
8,31,18
8,32,21
8,33,18
8,34,19
8,35,16
8,36,17
8,37,19
8,38,18
8,39,20
9,0,30
9,1,20
9,2,22
9,3,20
9,4,19
9,5,11
9,6,14
9,7,25
9,8,19
9,9,17
9,10,15
9,11,15
9,12,16
9,13,20
9,14,18
9,15,19
9,16,13
9,17,16
9,18,15
9,19,17
9,20,8
9,21,14
9,22,17
9,23,15
9,24,17
9,25,17
9,26,18
9,27,16
9,28,18
9,29,18
9,30,18
9,31,17
9,32,19
9,33,15
9,34,15
9,35,16
9,36,16
9,37,16
9,38,16
9,39,18
10,0,28
10,1,24
10,2,20
10,3,19
10,4,18
10,5,20
10,6,19
10,7,24
10,8,14
10,9,20
10,10,19
10,11,19
10,12,20
10,13,17
10,14,15
10,15,17
10,16,17
10,17,11
10,18,12
10,19,17
10,20,13
10,21,15
10,22,15
10,23,20
10,24,19
10,25,18
10,26,15
10,27,16
10,28,18
10,29,16
10,30,20
10,31,16
10,32,18
10,33,20
10,34,15
10,35,18
10,36,19
10,37,18
10,38,16
10,39,14
11,0,31
11,1,18
11,2,12
11,3,12
11,4,16
11,5,7
11,6,9
11,7,19
11,8,15
11,9,14
11,10,10
11,11,18
11,12,13
11,13,12
11,14,13
11,15,13
11,16,17
11,17,17
11,18,11
11,19,14
11,20,15
11,21,16
11,22,20
11,23,13
11,24,15
11,25,18
11,26,20
11,27,20
11,28,15
11,29,17
11,30,18
11,31,20
11,32,21
11,33,19
11,34,19
11,35,20
11,36,17
11,37,20
11,38,20
11,39,19
12,0,29
12,1,15
12,2,5
12,3,7
12,4,17
12,5,16
12,6,18
12,7,26
12,8,22
12,9,15
12,10,9
12,11,11
12,12,20
12,13,11
12,14,7
12,15,4
12,16,5
12,17,10
12,18,21
12,19,19
12,20,14
12,21,17
12,22,17
12,23,14
12,24,17
12,25,20
12,26,20
12,27,20
12,28,20
12,29,19
12,30,19
12,31,20
12,32,18
12,33,19
12,34,20
12,35,20
12,36,17
12,37,17
12,38,17
12,39,14
13,0,36
13,1,24
13,2,12
13,3,17
13,4,17
13,5,15
13,6,16
13,7,17
13,8,14
13,9,11
13,10,17
13,11,14
13,12,21
13,13,15
13,14,10
13,15,15
13,16,16
13,17,11
13,18,16
13,19,13
13,20,16
13,21,15
13,22,18
13,23,16
13,24,19
13,25,15
13,26,13
13,27,18
13,28,16
13,29,17
13,30,19
13,31,17
13,32,18
13,33,18
13,34,18
13,35,16
13,36,16
13,37,17
13,38,15
13,39,18
14,0,13
14,1,16
14,2,17
14,3,14
14,4,14
14,5,10
14,6,16
14,7,27
14,8,19
14,9,12
14,10,12
14,11,10
14,12,8
14,13,12
14,14,11
14,15,16
14,16,15
14,17,17
14,18,14
14,19,16
14,20,19
14,21,18
14,22,18
14,23,17
14,24,16
14,25,16
14,26,14
14,27,16
14,28,18
14,29,17
14,30,15
14,31,15
14,32,18
14,33,16
14,34,20
14,35,19
14,36,19
14,37,17
14,38,17
14,39,17
15,0,27
15,1,19
15,2,17
15,3,19
15,4,20
15,5,14
15,6,15
15,7,16
15,8,17
15,9,16
15,10,10
15,11,9
15,12,15
15,13,17
15,14,14
15,15,12
15,16,11
15,17,14
15,18,13
15,19,13
15,20,15
15,21,18
15,22,20
15,23,17
15,24,19
15,25,18
15,26,17
15,27,16
15,28,19
15,29,19
15,30,18
15,31,18
15,32,19
15,33,20
15,34,19
15,35,18
15,36,19
15,37,16
15,38,18
15,39,18
16,0,28
16,1,8
16,2,10
16,3,20
16,4,17
16,5,13
16,6,16
16,7,20
16,8,17
16,9,16
16,10,12
16,11,19
16,12,17
16,13,15
16,14,17
16,15,19
16,16,17
16,17,17
16,18,15
16,19,16
16,20,14
16,21,13
16,22,17
16,23,19
16,24,17
16,25,16
16,26,14
16,27,19
16,28,16
16,29,16
16,30,16
16,31,19
16,32,16
16,33,16
16,34,18
16,35,17
16,36,14
16,37,18
16,38,18
16,39,19
17,0,31
17,1,25
17,2,14
17,3,13
17,4,22
17,5,18
17,6,15
17,7,22
17,8,16
17,9,7
17,10,12
17,11,16
17,12,13
17,13,21
17,14,17
17,15,11
17,16,18
17,17,21
17,18,19
17,19,19
17,20,23
17,21,18
17,22,11
17,23,18
17,24,17
17,25,17
17,26,15
17,27,18
17,28,15
17,29,14
17,30,16
17,31,15
17,32,17
17,33,15
17,34,17
17,35,16
17,36,19
17,37,21
17,38,18
17,39,19
18,0,31
18,1,20
18,2,15
18,3,15
18,4,13
18,5,16
18,6,18
18,7,21
18,8,12
18,9,20
18,10,14
18,11,16
18,12,16
18,13,17
18,14,17
18,15,22
18,16,18
18,17,19
18,18,17
18,19,14
18,20,16
18,21,18
18,22,19
18,23,16
18,24,13
18,25,16
18,26,20
18,27,17
18,28,13
18,29,17
18,30,20
18,31,18
18,32,18
18,33,19
18,34,20
18,35,18
18,36,18
18,37,18
18,38,18
18,39,18
19,0,30
19,1,20
19,2,22
19,3,21
19,4,22
19,5,21
19,6,21
19,7,19
19,8,18
19,9,13
19,10,15
19,11,12
19,12,3
19,13,16
19,14,14
19,15,15
19,16,9
19,17,12
19,18,10
19,19,13
19,20,18
19,21,19
19,22,18
19,23,12
19,24,15
19,25,18
19,26,21
19,27,20
19,28,16
19,29,19
19,30,17
19,31,16
19,32,16
19,33,18
19,34,21
19,35,16
19,36,14
19,37,18
19,38,20
19,39,19
20,0,26
20,1,18
20,2,21
20,3,22
20,4,17
20,5,19
20,6,16
20,7,23
20,8,14
20,9,17
20,10,11
20,11,16
20,12,14
20,13,16
20,14,16
20,15,13
20,16,13
20,17,13
20,18,18
20,19,19
20,20,16
20,21,16
20,22,14
20,23,13
20,24,10
20,25,14
20,26,13
20,27,15
20,28,15
20,29,18
20,30,18
20,31,19
20,32,21
20,33,17
20,34,17
20,35,19
20,36,18
20,37,19
20,38,19
20,39,19
21,0,35
21,1,24
21,2,15
21,3,18
21,4,19
21,5,12
21,6,18
21,7,17
21,8,9
21,9,12
21,10,18
21,11,15
21,12,14
21,13,13
21,14,11
21,15,19
21,16,15
21,17,18
21,18,19
21,19,22
21,20,17
21,21,18
21,22,19
21,23,18
21,24,16
21,25,18
21,26,16
21,27,19
21,28,16
21,29,17
21,30,14
21,31,20
21,32,20
21,33,17
21,34,17
21,35,21
21,36,21
21,37,19
21,38,20
21,39,19
22,0,17
22,1,19
22,2,14
22,3,14
22,4,14
22,5,18
22,6,21
22,7,23
22,8,17
22,9,10
22,10,13
22,11,17
22,12,13
22,13,7
22,14,12
22,15,17
22,16,15
22,17,9
22,18,14
22,19,14
22,20,8
22,21,15
22,22,20
22,23,17
22,24,16
22,25,14
22,26,15
22,27,13
22,28,17
22,29,17
22,30,14
22,31,18
22,32,16
22,33,19
22,34,18
22,35,21
22,36,17
22,37,17
22,38,19
22,39,18
23,0,22
23,1,8
23,2,9
23,3,7
23,4,10
