id,n,magnitude
0,0,25
0,1,23
0,2,19
0,3,33
0,4,35
0,5,32
0,6,35
0,7,34
0,8,32
0,9,33
0,10,35
0,11,33
0,12,36
0,13,37
0,14,34
0,15,31
0,16,31
0,17,34
0,18,32
0,19,34
0,20,35
0,21,33
0,22,24
0,23,32
0,24,33
0,25,29
0,26,29
0,27,37
0,28,36
0,29,35
0,30,36
0,31,35
0,32,37
0,33,37
0,34,36
0,35,36
0,36,31
0,37,32
0,38,33
0,39,35
1,0,31
1,1,25
1,2,23
1,3,23
1,4,28
1,5,35
1,6,29
1,7,31
1,8,30
1,9,27
1,10,34
1,11,33
1,12,38
1,13,29
1,14,31
1,15,33
1,16,33
1,17,36
1,18,33
1,19,34
1,20,29
1,21,33
1,22,27
1,23,35
1,24,31
1,25,32
1,26,34
1,27,36
1,28,35
1,29,37
1,30,36
1,31,34
1,32,35
1,33,33
1,34,33
1,35,35
1,36,34
1,37,35
1,38,32
1,39,32
2,0,36
2,1,34
2,2,25
2,3,26
2,4,35
2,5,34
2,6,28
2,7,31
2,8,31
2,9,26
2,10,22
2,11,27
2,12,33
2,13,31
2,14,31
2,15,29
2,16,30
2,17,30
2,18,30
2,19,27
2,20,24
2,21,24
2,22,30
2,23,30
2,24,27
2,25,27
2,26,28
2,27,28
2,28,29
2,29,29
2,30,31
2,31,34
2,32,33
2,33,31
2,34,30
2,35,28
2,36,30
2,37,30
2,38,29
2,39,28
3,0,38
3,1,33
3,2,21
3,3,31
3,4,32
3,5,31
3,6,29
3,7,28
3,8,32
3,9,32
3,10,28
3,11,25
3,12,28
3,13,26
3,14,30
3,15,20
3,16,17
3,17,29
3,18,32
3,19,29
3,20,27
3,21,30
3,22,29
3,23,26
3,24,26
3,25,28
3,26,32
3,27,31
3,28,28
3,29,31
3,30,30
3,31,29
3,32,30
3,33,29
3,34,27
3,35,30
3,36,28
3,37,26
3,38,24
3,39,25
4,0,34
4,1,31
4,2,26
4,3,25
4,4,24
4,5,30
4,6,19
4,7,20
4,8,28
4,9,29
4,10,33
4,11,28
4,12,27
4,13,29
4,14,23
4,15,27
4,16,29
4,17,29
4,18,24
4,19,23
4,20,29
4,21,24
4,22,27
4,23,27
4,24,28
4,25,25
4,26,26
4,27,24
4,28,25
4,29,30
4,30,32
4,31,29
4,32,25
4,33,26
4,34,26
4,35,25
4,36,26
4,37,23
4,38,23
4,39,26
5,0,33
5,1,37
5,2,29
5,3,27
5,4,28
5,5,23
5,6,14
5,7,6
5,8,19
5,9,17
5,10,23
5,11,31
5,12,26
5,13,25
5,14,28
5,15,29
5,16,29
5,17,28
5,18,24
5,19,27
5,20,27
5,21,26
5,22,27
5,23,30
5,24,23
5,25,24
5,26,28
5,27,29
5,28,29
5,29,30
5,30,26
5,31,25
5,32,25
5,33,22
5,34,23
5,35,21
5,36,26
5,37,25
5,38,24
5,39,23
6,0,24
6,1,35
6,2,29
6,3,19
6,4,22
6,5,22
6,6,30
6,7,28
6,8,31
6,9,27
6,10,31
6,11,29
6,12,24
6,13,18
6,14,21
6,15,22
6,16,20
6,17,23
6,18,29
6,19,21
6,20,21
6,21,27
6,22,21
6,23,26
6,24,25
6,25,24
6,26,22
6,27,23
6,28,24
6,29,25
6,30,26
6,31,26
6,32,25
6,33,25
6,34,25
6,35,25
6,36,23
6,37,23
6,38,22
6,39,23
7,0,33
7,1,35
7,2,27
7,3,14
7,4,14
7,5,16
7,6,25
7,7,26
7,8,24
7,9,25
7,10,26
7,11,25
7,12,29
7,13,26
7,14,23
7,15,25
