id,n,magnitude
0,0,27
0,1,19
0,2,19
0,3,15
0,4,15
0,5,23
0,6,17
0,7,22
0,8,19
0,9,19
0,10,13
0,11,17
0,12,17
0,13,17
0,14,21
0,15,16
0,16,15
0,17,14
0,18,12
0,19,16
0,20,16
0,21,17
0,22,14
0,23,15
0,24,16
0,25,19
0,26,17
0,27,17
0,28,16
0,29,19
0,30,17
0,31,19
0,32,17
0,33,17
0,34,20
0,35,18
0,36,18
0,37,18
0,38,18
0,39,17
1,0,28
1,1,26
1,2,21
1,3,13
1,4,11
1,5,18
1,6,17
1,7,22
1,8,22
1,9,18
1,10,14
1,11,15
1,12,16
1,13,16
1,14,16
1,15,22
1,16,19
1,17,18
1,18,15
1,19,16
1,20,16
1,21,18
1,22,18
1,23,18
1,24,18
1,25,16
1,26,16
1,27,18
1,28,16
1,29,18
1,30,17
1,31,19
1,32,20
1,33,17
1,34,18
1,35,16
1,36,17
1,37,17
1,38,17
1,39,16
2,0,27
2,1,22
2,2,7
2,3,7
2,4,13
2,5,15
2,6,18
2,7,21
2,8,20
2,9,17
2,10,19
2,11,18
2,12,10
2,13,16
2,14,16
2,15,15
2,16,17
2,17,18
2,18,15
2,19,16
2,20,18
2,21,17
2,22,18
2,23,18
2,24,17
2,25,11
2,26,15
2,27,21
2,28,20
2,29,13
2,30,16
2,31,19
2,32,18
2,33,19
2,34,21
2,35,18
2,36,19
2,37,18
2,38,18
2,39,15
3,0,26
3,1,19
3,2,17
3,3,15
3,4,9
3,5,3
3,6,11
3,7,22
3,8,14
3,9,16
3,10,11
3,11,10
3,12,9
3,13,15
3,14,11
3,15,16
3,16,17
3,17,16
3,18,19
3,19,18
3,20,16
3,21,14
3,22,17
3,23,15
3,24,18
3,25,19
3,26,19
3,27,20
3,28,15
3,29,17
3,30,19
3,31,19
3,32,19
3,33,20
3,34,20
3,35,20
3,36,17
3,37,15
3,38,15
3,39,18
4,0,23
4,1,21
4,2,19
4,3,15
4,4,6
4,5,9
4,6,16
4,7,21
4,8,17
4,9,14
4,10,15
4,11,17
4,12,14
4,13,15
4,14,14
4,15,14
4,16,10
4,17,15
4,18,14
4,19,13
4,20,16
4,21,16
4,22,16
4,23,15
4,24,17
4,25,20
4,26,18
4,27,16
4,28,17
4,29,16
4,30,18
4,31,16
4,32,18
4,33,17
4,34,17
4,35,19
4,36,16
4,37,19
4,38,19
4,39,22
5,0,28
5,1,23
5,2,16
5,3,19
5,4,13
5,5,21
5,6,16
5,7,24
5,8,20
5,9,12
5,10,19
5,11,12
5,12,17
5,13,19
5,14,21
5,15,18
5,16,13
5,17,12
5,18,12
5,19,15
5,20,14
5,21,20
5,22,15
5,23,17
5,24,16
5,25,21
5,26,19
5,27,21
5,28,17
5,29,18
5,30,20
5,31,18
5,32,19
5,33,16
5,34,19
5,35,17
5,36,19
5,37,17
5,38,21
5,39,19
6,0,29
6,1,20
6,2,16
6,3,17
6,4,17
6,5,15
6,6,18
6,7,21
6,8,16
6,9,16
6,10,17
6,11,14
6,12,12
6,13,15
6,14,18
6,15,16
6,16,13
6,17,18
6,18,19
6,19,12
6,20,19
6,21,20
6,22,17
6,23,13
6,24,15
6,25,17
6,26,18
6,27,14
6,28,16
6,29,19
6,30,20
6,31,19
6,32,14
6,33,18
6,34,18
6,35,20
6,36,18
6,37,19
6,38,18
6,39,17
7,0,19
7,1,24
7,2,20
7,3,14
7,4,20
7,5,19
7,6,23
7,7,22
7,8,22
7,9,17
7,10,16
7,11,13
7,12,9
7,13,13
7,14,14
7,15,11
7,16,19
7,17,19
7,18,12
7,19,17
7,20,17
7,21,11
7,22,15
7,23,16
7,24,16
7,25,18
7,26,13
7,27,14
7,28,19
7,29,17
7,30,18
7,31,20
7,32,18
7,33,18
7,34,13
7,35,16
7,36,19
7,37,18
7,38,18
7,39,17
8,0,25
8,1,21
8,2,18
8,3,15
8,4,13
8,5,16
8,6,19
8,7,22
8,8,14
8,9,19
8,10,13
8,11,14
8,12,12
8,13,12
8,14,17
8,15,10
8,16,20
8,17,21
8,18,17
8,19,15
8,20,19
8,21,14
8,22,15
8,23,15
8,24,18
8,25,17
8,26,11
8,27,14
8,28,16
8,29,17
8,30,20
8,31,20
8,32,17
8,33,19
8,34,15
8,35,18
8,36,19
8,37,19
8,38,21
8,39,19
9,0,27
9,1,24
9,2,16
9,3,18
9,4,20
9,5,15
9,6,7
9,7,21
9,8,12
9,9,15
9,10,15
9,11,20
9,12,16
9,13,16
9,14,12
9,15,15
9,16,14
9,17,10
9,18,12
9,19,15
9,20,20
9,21,14
9,22,15
9,23,18
9,24,17
9,25,13
9,26,14
9,27,19
9,28,14
9,29,16
9,30,20
9,31,20
9,32,18
9,33,20
9,34,22
9,35,21
9,36,17
9,37,15
9,38,16
9,39,19
10,0,27
10,1,20
10,2,20
10,3,19
10,4,16
10,5,14
10,6,17
10,7,22
10,8,0
10,9,13
10,10,13
10,11,10
10,12,12
10,13,11
10,14,12
10,15,12
10,16,11
10,17,17
10,18,14
10,19,14
10,20,20
10,21,17
10,22,15
10,23,12
10,24,15
10,25,17
10,26,17
10,27,15
10,28,19
10,29,20
10,30,19
10,31,19
10,32,21
10,33,17
10,34,18
10,35,18
10,36,18
10,37,20
10,38,20
10,39,19
11,0,35
11,1,24
11,2,16
11,3,17
11,4,17
11,5,16
11,6,17
11,7,26
11,8,15
11,9,18
11,10,15
11,11,15
11,12,14
11,13,13
11,14,12
11,15,21
11,16,18
11,17,17
11,18,13
11,19,12
11,20,16
11,21,20
11,22,18
11,23,15
11,24,17
11,25,16
11,26,16
11,27,16
11,28,15
11,29,18
11,30,19
11,31,20
11,32,21
11,33,18
11,34,18
11,35,20
11,36,19
11,37,20
11,38,19
11,39,18
12,0,33
12,1,25
12,2,19
12,3,13
12,4,20
12,5,14
12,6,13
12,7,21
12,8,22
12,9,16
12,10,17
12,11,14
12,12,17
12,13,16
12,14,17
12,15,17
12,16,17
12,17,17
12,18,16
12,19,17
12,20,16
12,21,19
12,22,14
12,23,16
12,24,14
12,25,18
12,26,20
12,27,15
12,28,15
12,29,17
12,30,17
12,31,17
12,32,20
12,33,17
12,34,14
12,35,19
12,36,18
12,37,16
12,38,16
12,39,19
13,0,22
13,1,22
13,2,24
13,3,20
13,4,18
13,5,7
