id,n,magnitude
0,0,29
0,1,24
0,2,25
0,3,22
0,4,22
0,5,23
0,6,26
0,7,26
0,8,29
0,9,24
0,10,22
0,11,25
0,12,23
0,13,21
0,14,21
0,15,16
0,16,19
0,17,19
0,18,21
0,19,25
0,20,25
0,21,21
0,22,18
0,23,21
0,24,17
0,25,21
0,26,23
0,27,19
0,28,17
0,29,15
0,30,17
0,31,20
0,32,17
0,33,24
0,34,23
0,35,19
0,36,19
0,37,21
0,38,19
0,39,21
1,0,26
1,1,18
1,2,27
1,3,26
1,4,24
1,5,30
1,6,28
1,7,31
1,8,23
1,9,21
1,10,24
1,11,21
1,12,26
1,13,23
1,14,22
1,15,25
1,16,22
1,17,19
1,18,20
1,19,21
1,20,20
1,21,22
1,22,19
1,23,20
1,24,24
1,25,21
1,26,21
1,27,18
1,28,20
1,29,23
1,30,24
1,31,23
1,32,22
1,33,24
1,34,24
1,35,26
1,36,27
1,37,23
1,38,22
1,39,23
2,0,28
2,1,22
2,2,21
2,3,28
2,4,28
2,5,17
2,6,12
2,7,13
2,8,21
2,9,17
2,10,25
2,11,25
2,12,23
2,13,22
2,14,29
2,15,28
2,16,20
2,17,17
2,18,25
2,19,21
2,20,19
2,21,24
2,22,25
2,23,23
2,24,21
2,25,19
2,26,27
2,27,33
2,28,29
2,29,27
2,30,27
2,31,22
2,32,25
2,33,26
2,34,27
2,35,25
2,36,27
2,37,24
2,38,23
2,39,21
3,0,26
3,1,16
3,2,18
3,3,26
3,4,28
3,5,26
3,6,19
3,7,26
3,8,24
3,9,21
3,10,25
3,11,28
3,12,20
3,13,22
3,14,18
3,15,25
3,16,25
3,17,23
3,18,25
3,19,18
3,20,22
3,21,21
3,22,21
3,23,23
3,24,21
3,25,18
3,26,24
3,27,28
3,28,28
3,29,23
3,30,24
3,31,24
3,32,23
3,33,22
3,34,25
3,35,27
3,36,24
3,37,24
3,38,25
3,39,23
4,0,32
4,1,26
4,2,26
4,3,22
4,4,26
4,5,25
4,6,25
4,7,20
4,8,21
4,9,19
4,10,17
4,11,18
4,12,27
4,13,23
4,14,17
4,15,12
4,16,20
4,17,17
4,18,16
4,19,22
4,20,20
4,21,20
4,22,27
4,23,22
4,24,23
4,25,21
4,26,22
