id,n,magnitude
0,0,13
0,1,21
0,2,15
0,3,12
0,4,17
0,5,19
0,6,22
0,7,20
0,8,16
0,9,22
0,10,17
0,11,17
0,12,19
0,13,20
0,14,20
0,15,22
0,16,17
0,17,15
0,18,18
0,19,20
0,20,19
0,21,15
0,22,22
0,23,20
0,24,19
0,25,20
0,26,16
0,27,23
0,28,24
0,29,23
0,30,24
0,31,23
0,32,22
0,33,23
0,34,25
0,35,21
0,36,21
0,37,22
0,38,20
0,39,21
1,0,32
1,1,24
1,2,21
1,3,10
1,4,15
1,5,14
1,6,20
1,7,22
1,8,21
1,9,19
1,10,18
1,11,16
1,12,23
1,13,23
1,14,18
1,15,15
1,16,20
1,17,18
1,18,16
1,19,14
1,20,16
1,21,20
1,22,21
1,23,17
1,24,21
1,25,21
1,26,18
1,27,21
1,28,23
1,29,23
1,30,24
1,31,22
1,32,23
1,33,24
1,34,24
1,35,22
1,36,23
1,37,22
1,38,21
1,39,21
2,0,31
2,1,19
2,2,17
2,3,19
2,4,15
2,5,20
2,6,26
2,7,20
2,8,14
2,9,12
2,10,21
2,11,20
2,12,13
2,13,17
2,14,19
2,15,18
2,16,14
2,17,15
2,18,20
2,19,13
2,20,19
2,21,18
2,22,16
2,23,14
2,24,19
2,25,18
2,26,19
2,27,22
2,28,23
2,29,23
2,30,22
2,31,23
2,32,25
2,33,24
2,34,20
2,35,16
2,36,20
2,37,22
2,38,20
2,39,21
3,0,34
3,1,30
3,2,20
3,3,26
3,4,22
3,5,18
3,6,14
3,7,16
3,8,20
3,9,11
3,10,24
3,11,26
3,12,14
3,13,18
3,14,18
3,15,20
3,16,20
3,17,21
3,18,21
3,19,14
3,20,17
3,21,17
3,22,22
3,23,21
3,24,20
3,25,18
3,26,19
3,27,17
3,28,22
3,29,23
3,30,22
3,31,20
3,32,22
3,33,22
3,34,22
3,35,22
3,36,21
3,37,19
3,38,21
3,39,21
4,0,35
4,1,23
4,2,19
4,3,12
4,4,17
4,5,23
4,6,16
4,7,23
4,8,18
4,9,17
4,10,22
4,11,20
4,12,8
4,13,21
4,14,20
4,15,15
4,16,12
4,17,13
4,18,20
4,19,18
4,20,19
4,21,18
4,22,17
4,23,13
4,24,20
4,25,18
4,26,20
4,27,22
4,28,19
4,29,17
4,30,23
4,31,20
4,32,23
4,33,22
4,34,20
4,35,23
4,36,22
4,37,20
4,38,22
4,39,22
5,0,28
5,1,25
5,2,22
5,3,9
5,4,17
5,5,23
5,6,20
5,7,23
5,8,25
5,9,22
5,10,17
5,11,20
5,12,21
5,13,23
5,14,23
5,15,18
5,16,20
5,17,18
5,18,18
5,19,13
5,20,7
5,21,13
5,22,16
5,23,19
5,24,21
5,25,18
5,26,17
5,27,20
5,28,20
5,29,23
5,30,23
5,31,21
5,32,20
5,33,20
5,34,18
5,35,17
5,36,22
5,37,19
5,38,17
5,39,17
6,0,31
6,1,27
6,2,24
6,3,26
6,4,23
6,5,21
6,6,18
6,7,16
6,8,9
6,9,17
6,10,24
6,11,15
6,12,14
6,13,16
6,14,16
6,15,15
6,16,24
6,17,16
6,18,15
6,19,20
6,20,21
6,21,17
6,22,18
6,23,17
6,24,16
6,25,19
6,26,21
6,27,19
6,28,21
6,29,22
6,30,20
6,31,18
6,32,21
6,33,19
6,34,20
6,35,18
6,36,21
6,37,19
6,38,17
6,39,20
