id,n,magnitude
0,0,35
0,1,17
0,2,16
0,3,18
0,4,24
0,5,24
0,6,19
0,7,12
0,8,18
0,9,17
0,10,21
0,11,21
0,12,20
0,13,20
0,14,18
0,15,19
0,16,17
0,17,16
0,18,23
0,19,17
0,20,8
0,21,18
0,22,13
0,23,16
0,24,17
0,25,22
0,26,16
0,27,25
0,28,24
0,29,18
0,30,21
0,31,20
0,32,21
0,33,19
0,34,18
0,35,19
0,36,20
0,37,20
0,38,19
0,39,17
1,0,33
1,1,21
1,2,19
1,3,21
1,4,24
1,5,26
1,6,20
1,7,18
1,8,24
1,9,21
1,10,12
1,11,14
1,12,18
1,13,19
1,14,20
1,15,20
1,16,18
1,17,16
1,18,20
1,19,17
1,20,21
1,21,16
1,22,14
1,23,16
1,24,19
1,25,16
1,26,21
1,27,25
1,28,22
1,29,18
1,30,20
1,31,22
1,32,20
1,33,21
1,34,19
1,35,21
1,36,20
1,37,19
1,38,21
1,39,19
2,0,26
2,1,24
2,2,19
2,3,17
2,4,24
2,5,23
2,6,22
2,7,23
2,8,22
2,9,23
2,10,22
2,11,21
2,12,18
2,13,18
2,14,20
2,15,19
2,16,16
2,17,16
2,18,15
2,19,16
2,20,18
2,21,19
2,22,21
2,23,20
2,24,16
2,25,17
2,26,18
2,27,25
2,28,22
2,29,19
2,30,15
2,31,18
2,32,18
2,33,20
2,34,21
2,35,21
2,36,21
2,37,22
2,38,19
2,39,20
3,0,30
3,1,28
3,2,24
3,3,26
3,4,23
3,5,22
3,6,22
3,7,20
3,8,16
3,9,20
3,10,20
3,11,18
3,12,17
3,13,17
3,14,17
3,15,20
3,16,19
3,17,16
3,18,17
3,19,18
3,20,18
3,21,16
3,22,16
3,23,20
3,24,20
3,25,19
3,26,21
3,27,25
3,28,20
3,29,19
3,30,21
3,31,21
3,32,21
3,33,23
3,34,18
3,35,20
3,36,19
3,37,20
3,38,20
3,39,18
4,0,28
4,1,24
4,2,17
4,3,21
4,4,22
4,5,20
4,6,19
4,7,25
4,8,20
4,9,20
4,10,16
4,11,23
4,12,21
4,13,18
4,14,18
4,15,17
4,16,17
4,17,20
4,18,16
4,19,13
4,20,15
4,21,13
4,22,13
4,23,17
4,24,21
4,25,13
4,26,14
4,27,21
4,28,19
4,29,20
4,30,19
4,31,21
4,32,18
4,33,19
4,34,20
4,35,19
4,36,20
4,37,21
4,38,22
4,39,21
5,0,29
5,1,24
5,2,4
5,3,14
5,4,19
5,5,13
5,6,25
5,7,20
5,8,14
5,9,15
5,10,15
5,11,19
5,12,16
5,13,18
5,14,20
5,15,19
5,16,21
5,17,14
5,18,16
5,19,5
5,20,12
5,21,14
5,22,21
5,23,18
5,24,20
5,25,19
5,26,15
5,27,18
5,28,22
5,29,20
5,30,14
5,31,20
5,32,20
5,33,18
5,34,18
5,35,19
5,36,19
5,37,20
5,38,20
5,39,21
6,0,19
6,1,14
6,2,20
6,3,22
6,4,20
6,5,21
6,6,23
6,7,20
6,8,17
6,9,21
6,10,13
6,11,15
6,12,17
6,13,14
6,14,12
6,15,17
6,16,17
6,17,13
6,18,18
6,19,16
6,20,15
6,21,13
6,22,14
6,23,17
6,24,16
6,25,16
6,26,18
6,27,18
6,28,21
6,29,19
6,30,15
6,31,20
