id,n,magnitude
0,0,27
0,1,28
0,2,20
0,3,22
0,4,27
0,5,24
0,6,23
0,7,23
0,8,19
0,9,18
0,10,25
0,11,21
0,12,24
0,13,23
0,14,22
0,15,22
0,16,20
0,17,22
0,18,17
0,19,18
0,20,19
0,21,20
0,22,22
0,23,23
0,24,21
0,25,21
0,26,22
0,27,22
0,28,22
0,29,22
0,30,27
0,31,27
0,32,31
0,33,29
0,34,27
0,35,26
0,36,29
0,37,24
0,38,21
0,39,25
1,0,29
1,1,26
1,2,10
1,3,18
1,4,25
1,5,27
1,6,26
1,7,24
1,8,23
1,9,22
1,10,20
1,11,17
1,12,23
1,13,16
1,14,13
1,15,23
1,16,27
1,17,24
1,18,20
1,19,22
1,20,24
1,21,24
1,22,21
1,23,21
1,24,18
1,25,25
1,26,24
1,27,24
1,28,23
1,29,22
1,30,28
1,31,31
1,32,29
1,33,26
1,34,29
1,35,25
1,36,29
1,37,31
1,38,29
1,39,30
2,0,22
2,1,18
2,2,20
2,3,20
2,4,13
2,5,25
2,6,23
2,7,21
2,8,15
2,9,20
2,10,20
2,11,25
2,12,23
2,13,20
2,14,22
2,15,24
2,16,25
2,17,19
2,18,23
2,19,22
2,20,19
2,21,18
2,22,21
2,23,23
2,24,26
2,25,25
2,26,25
2,27,23
2,28,25
2,29,26
2,30,27
2,31,27
2,32,30
2,33,28
2,34,30
2,35,29
2,36,27
2,37,32
2,38,31
2,39,31
3,0,26
3,1,25
3,2,1
3,3,20
3,4,22
3,5,16
3,6,17
3,7,19
3,8,17
3,9,23
3,10,22
3,11,22
3,12,19
3,13,24
3,14,19
3,15,15
3,16,21
3,17,19
3,18,22
3,19,23
3,20,21
3,21,21
3,22,23
3,23,24
3,24,27
3,25,24
3,26,21
3,27,22
3,28,24
3,29,27
3,30,28
3,31,28
3,32,30
3,33,28
3,34,31
3,35,31
3,36,30
3,37,29
3,38,28
3,39,29
4,0,32
4,1,33
4,2,26
4,3,27
4,4,28
4,5,25
4,6,19
4,7,21
4,8,22
4,9,22
4,10,22
4,11,26
4,12,20
4,13,21
4,14,25
4,15,25
4,16,20
4,17,20
4,18,25
4,19,20
4,20,15
4,21,22
4,22,19
4,23,23
4,24,27
4,25,26
4,26,19
4,27,23
4,28,25
4,29,28
4,30,28
4,31,27
4,32,30
4,33,27
4,34,31
4,35,32
4,36,30
4,37,31
4,38,27
4,39,25
5,0,32
5,1,30
5,2,15
5,3,20
5,4,22
5,5,20
5,6,22
5,7,16
5,8,15
5,9,13
5,10,22
5,11,24
5,12,11
5,13,23
5,14,20
5,15,20
5,16,24
5,17,21
5,18,20
5,19,18
5,20,22
5,21,20
5,22,25
5,23,21
5,24,23
5,25,26
5,26,26
5,27,25
5,28,26
5,29,30
5,30,30
5,31,28
5,32,27
5,33,29
5,34,31
5,35,30
5,36,32
5,37,31
5,38,28
5,39,25
6,0,33
6,1,20
6,2,19
6,3,24
6,4,26
6,5,21
6,6,24
6,7,21
6,8,17
6,9,17
6,10,21
6,11,22
6,12,16
6,13,19
6,14,23
6,15,25
6,16,23
6,17,21
6,18,21
6,19,21
6,20,18
6,21,21
6,22,25
6,23,20
6,24,27
6,25,25
6,26,24
6,27,27
6,28,30
6,29,28
6,30,30
6,31,29
6,32,26
6,33,27
6,34,32
6,35,27
6,36,27
6,37,26
6,38,24
6,39,24
7,0,33
7,1,29
7,2,24
7,3,15
7,4,15
7,5,14
7,6,22
7,7,23
7,8,20
7,9,15
7,10,19
7,11,21
7,12,23
7,13,12
7,14,18
7,15,23
7,16,18
7,17,19
7,18,13
7,19,23
7,20,22
7,21,21
7,22,21
7,23,24
7,24,19
7,25,23
7,26,21
7,27,24
7,28,24
7,29,27
7,30,26
7,31,25
7,32,27
7,33,22
7,34,26
7,35,30
7,36,24
7,37,22
7,38,26
7,39,25
