id,n,magnitude
0,0,28
0,1,19
0,2,23
0,3,26
0,4,28
0,5,26
0,6,21
0,7,23
0,8,22
0,9,21
0,10,18
0,11,24
0,12,24
0,13,24
0,14,27
0,15,24
0,16,21
0,17,22
0,18,26
0,19,23
0,20,22
0,21,25
0,22,25
0,23,22
0,24,27
0,25,31
0,26,30
0,27,25
0,28,33
0,29,31
0,30,33
0,31,34
0,32,31
0,33,32
0,34,34
0,35,34
0,36,31
0,37,32
0,38,34
0,39,33
1,0,26
1,1,29
1,2,28
1,3,20
1,4,23
1,5,22
1,6,20
1,7,15
1,8,16
1,9,20
1,10,25
1,11,22
1,12,13
1,13,20
1,14,24
1,15,28
1,16,21
1,17,26
1,18,32
1,19,26
1,20,28
1,21,26
1,22,24
1,23,29
1,24,33
1,25,29
1,26,27
1,27,30
1,28,31
1,29,30
1,30,31
1,31,32
1,32,31
1,33,33
1,34,35
1,35,37
1,36,36
1,37,38
1,38,35
1,39,32
2,0,22
2,1,25
2,2,21
2,3,19
2,4,22
2,5,22
2,6,18
2,7,21
2,8,20
2,9,23
2,10,24
2,11,24
2,12,19
2,13,22
2,14,22
2,15,29
2,16,28
2,17,24
2,18,25
2,19,25
2,20,25
2,21,26
2,22,25
2,23,28
2,24,28
2,25,31
2,26,31
2,27,30
2,28,31
2,29,35
2,30,36
2,31,37
2,32,32
2,33,35
2,34,35
2,35,37
2,36,38
2,37,36
2,38,38
2,39,39
3,0,36
3,1,27
3,2,18
3,3,25
3,4,26
3,5,17
3,6,20
3,7,10
3,8,20
3,9,18
3,10,15
3,11,18
3,12,22
3,13,25
3,14,21
3,15,21
3,16,23
3,17,23
3,18,28
3,19,26
3,20,34
3,21,31
3,22,32
3,23,32
3,24,29
3,25,26
3,26,33
3,27,34
3,28,33
3,29,35
3,30,34
3,31,38
3,32,36
3,33,36
3,34,40
3,35,40
3,36,39
3,37,39
3,38,38
3,39,36
4,0,34
4,1,26
4,2,21
4,3,20
4,4,16
4,5,21
4,6,17
4,7,24
4,8,26
4,9,25
4,10,26
4,11,28
4,12,27
4,13,26
4,14,24
4,15,18
4,16,23
4,17,28
4,18,24
4,19,26
4,20,27
4,21,29
4,22,32
4,23,31
4,24,32
4,25,32
4,26,35
4,27,36
4,28,41
4,29,37
4,30,33
4,31,37
4,32,39
4,33,37
4,34,35
4,35,37
4,36,37
4,37,40
4,38,38
4,39,40
5,0,32
5,1,26
5,2,17
5,3,21
5,4,19
5,5,18
5,6,26
5,7,17
5,8,15
5,9,22
5,10,27
5,11,26
5,12,20
5,13,24
5,14,27
5,15,31
5,16,30
5,17,30
5,18,29
5,19,28
5,20,30
5,21,31
5,22,32
5,23,31
5,24,29
5,25,33
5,26,29
5,27,33
5,28,35
5,29,35
5,30,36
5,31,37
5,32,38
5,33,39
5,34,38
5,35,40
5,36,39
5,37,36
5,38,39
5,39,41
6,0,24
6,1,23
6,2,16
6,3,16
6,4,18
6,5,10
6,6,17
6,7,18
6,8,21
6,9,21
