id,n,magnitude
0,0,29
0,1,18
0,2,22
0,3,24
0,4,25
0,5,22
0,6,19
0,7,12
0,8,17
0,9,13
0,10,17
0,11,18
0,12,16
0,13,19
0,14,17
0,15,10
0,16,19
0,17,17
0,18,14
0,19,16
0,20,21
0,21,21
0,22,14
0,23,17
0,24,18
0,25,19
0,26,24
0,27,20
0,28,18
0,29,19
0,30,23
0,31,23
0,32,19
0,33,18
0,34,19
0,35,20
0,36,17
0,37,18
0,38,16
0,39,17
1,0,34
1,1,28
1,2,16
1,3,15
1,4,13
1,5,15
1,6,14
1,7,15
1,8,13
1,9,14
1,10,19
1,11,15
1,12,19
1,13,12
1,14,16
1,15,15
1,16,15
1,17,14
1,18,16
1,19,19
1,20,17
1,21,18
1,22,19
1,23,20
1,24,19
1,25,20
1,26,21
1,27,18
1,28,17
1,29,16
1,30,21
1,31,19
1,32,22
1,33,20
1,34,18
1,35,19
1,36,19
1,37,19
1,38,19
1,39,18
2,0,32
2,1,22
2,2,21
2,3,23
2,4,20
2,5,20
2,6,17
2,7,15
2,8,16
2,9,20
2,10,23
2,11,14
2,12,16
2,13,16
2,14,18
2,15,14
2,16,19
2,17,16
2,18,17
2,19,17
2,20,14
2,21,15
2,22,19
2,23,18
2,24,22
2,25,22
2,26,24
2,27,18
2,28,18
2,29,20
2,30,23
2,31,20
2,32,25
2,33,21
2,34,19
2,35,21
2,36,19
2,37,22
2,38,19
2,39,19
3,0,34
3,1,24
3,2,17
3,3,11
3,4,21
3,5,19
3,6,22
3,7,24
3,8,22
3,9,21
3,10,28
3,11,22
3,12,20
3,13,15
3,14,19
3,15,25
3,16,19
3,17,23
3,18,17
3,19,13
3,20,13
3,21,18
3,22,12
3,23,11
3,24,17
3,25,24
3,26,29
3,27,23
3,28,23
3,29,21
3,30,21
3,31,24
3,32,20
3,33,22
3,34,20
3,35,19
3,36,20
3,37,21
3,38,17
3,39,20
4,0,36
4,1,27
4,2,21
4,3,19
4,4,20
4,5,27
4,6,23
4,7,16
4,8,19
4,9,20
4,10,25
4,11,20
4,12,19
4,13,22
4,14,15
4,15,17
4,16,24
4,17,20
4,18,14
4,19,18
4,20,20
4,21,18
4,22,14
4,23,14
4,24,21
4,25,19
4,26,21
4,27,16
4,28,20
4,29,24
4,30,23
4,31,22
4,32,22
4,33,20
4,34,22
4,35,23
4,36,22
4,37,18
4,38,17
4,39,18
5,0,26
5,1,20
5,2,18
5,3,27
5,4,24
5,5,16
5,6,13
5,7,14
5,8,18
5,9,18
5,10,22
5,11,22
5,12,18
5,13,11
5,14,17
5,15,20
5,16,21
5,17,13
5,18,18
5,19,16
5,20,19
5,21,21
5,22,16
5,23,16
5,24,15
5,25,20
5,26,23
5,27,17
5,28,19
5,29,22
5,30,25
5,31,22
5,32,16
5,33,19
5,34,21
5,35,18
5,36,20
5,37,19
5,38,19
5,39,16
6,0,35
6,1,27
6,2,25
6,3,26
6,4,6
6,5,18
6,6,21
6,7,16
6,8,17
6,9,21
6,10,23
6,11,26
6,12,18
6,13,22
6,14,22
6,15,20
6,16,18
6,17,13
6,18,13
6,19,15
6,20,19
6,21,12
6,22,13
6,23,19
6,24,16
6,25,20
6,26,21
6,27,15
6,28,15
6,29,19
6,30,21
6,31,22
6,32,21
6,33,19
6,34,18
6,35,18
6,36,20
6,37,20
6,38,21
6,39,19
7,0,32
7,1,24
7,2,21
7,3,12
7,4,18
7,5,22
7,6,18
7,7,22
7,8,19
7,9,13
7,10,21
7,11,19
7,12,17
7,13,18
7,14,20
7,15,16
7,16,19
7,17,21
7,18,17
7,19,18
7,20,19
7,21,20
7,22,19
7,23,16
7,24,12
7,25,14
7,26,20
7,27,19
7,28,19
7,29,21
7,30,23
7,31,21
7,32,16
7,33,16
7,34,15
7,35,19
7,36,20
7,37,20
7,38,20
7,39,17
8,0,31
8,1,22
8,2,22
8,3,26
8,4,23
8,5,19
8,6,25
8,7,20
8,8,18
8,9,19
8,10,24
8,11,21
8,12,18
8,13,14
8,14,14
8,15,13
8,16,15
8,17,18
8,18,9
8,19,20
8,20,13
8,21,19
8,22,22
8,23,13
8,24,13
8,25,19
8,26,25
8,27,21
8,28,21
8,29,20
8,30,17
8,31,18
8,32,15
8,33,19
8,34,18
8,35,18
8,36,19
8,37,19
8,38,18
8,39,18
9,0,35
9,1,25
9,2,17
9,3,8
9,4,16
9,5,24
9,6,24
9,7,19
9,8,20
9,9,18
9,10,21
9,11,23
9,12,13
9,13,15
9,14,16
9,15,17
9,16,22
9,17,19
9,18,15
9,19,15
9,20,13
9,21,18
9,22,16
9,23,15
9,24,15
9,25,18
9,26,21
9,27,21
9,28,22
9,29,18
9,30,20
9,31,21
9,32,22
9,33,20
9,34,19
9,35,17
9,36,21
9,37,17
9,38,17
9,39,17
10,0,32
10,1,20
10,2,13
10,3,12
10,4,22
10,5,19
10,6,20
10,7,27
10,8,22
10,9,22
10,10,19
10,11,20
10,12,14
10,13,18
10,14,14
10,15,19
10,16,21
10,17,18
10,18,15
10,19,16
10,20,14
10,21,19
10,22,21
10,23,20
10,24,18
10,25,18
10,26,19
10,27,17
10,28,20
10,29,19
10,30,19
10,31,16
10,32,19
10,33,19
10,34,22
10,35,17
10,36,17
10,37,18
10,38,17
10,39,18
11,0,29
11,1,20
11,2,18
11,3,24
11,4,23
11,5,21
11,6,18
11,7,17
11,8,16
11,9,20
11,10,23
11,11,16
11,12,20
11,13,19
11,14,21
11,15,20
11,16,14
11,17,21
11,18,15
11,19,16
11,20,15
11,21,16
11,22,15
11,23,17
11,24,10
11,25,18
11,26,21
11,27,21
11,28,17
11,29,17
11,30,20
11,31,22
11,32,21
11,33,17
11,34,20
11,35,17
11,36,17
11,37,16
11,38,19
11,39,19
12,0,29
12,1,27
12,2,16
12,3,10
12,4,7
12,5,19
12,6,22
12,7,21
12,8,21
12,9,24
12,10,25
12,11,20
12,12,14
12,13,15
12,14,19
12,15,17
12,16,19
12,17,21
12,18,20
12,19,18
12,20,19
12,21,20
12,22,21
12,23,20
12,24,18
12,25,23
12,26,24
12,27,23
12,28,19
12,29,20
12,30,22
12,31,20
12,32,19
12,33,16
12,34,19
12,35,19
12,36,20
12,37,20
12,38,21
12,39,20
13,0,32
13,1,19
13,2,23
13,3,22
13,4,21
13,5,23
13,6,17
13,7,22
13,8,22
13,9,22
13,10,21
13,11,19
13,12,15
13,13,20
13,14,21
13,15,19
13,16,21
13,17,20
13,18,18
13,19,17
13,20,15
13,21,17
13,22,20
13,23,18
13,24,15
13,25,22
13,26,19
13,27,18
13,28,19
13,29,20
13,30,22
13,31,22
13,32,18
13,33,18
13,34,19
13,35,17
13,36,21
13,37,18
13,38,18
13,39,20
14,0,25
14,1,23
14,2,24
14,3,20
14,4,21
14,5,16
14,6,21
14,7,21
14,8,17
14,9,15
14,10,16
14,11,20
14,12,16
14,13,22
14,14,14
14,15,9
14,16,18
14,17,16
14,18,21
14,19,18
14,20,15
14,21,16
14,22,17
14,23,20
14,24,20
14,25,21
14,26,23
14,27,16
14,28,18
14,29,19
14,30,17
14,31,22
14,32,17
14,33,18
14,34,21
14,35,17
14,36,18
14,37,17
14,38,16
14,39,16
15,0,20
15,1,21
15,2,19
