id,n,magnitude
0,0,38
0,1,36
0,2,38
0,3,37
0,4,43
0,5,38
0,6,33
0,7,40
0,8,37
0,9,35
0,10,33
0,11,35
0,12,30
0,13,33
0,14,30
0,15,26
0,16,39
0,17,40
0,18,36
0,19,34
0,20,35
0,21,31
0,22,33
0,23,36
0,24,37
0,25,42
0,26,40
0,27,39
0,28,40
0,29,37
0,30,40
0,31,45
0,32,47
0,33,44
0,34,49
0,35,49
0,36,46
0,37,47
0,38,46
0,39,43
1,0,38
1,1,38
1,2,39
1,3,37
1,4,34
1,5,28
1,6,34
1,7,41
1,8,32
1,9,30
1,10,35
1,11,27
1,12,28
1,13,35
1,14,37
1,15,36
1,16,32
1,17,34
1,18,30
1,19,36
1,20,37
1,21,37
1,22,37
1,23,35
1,24,34
1,25,36
1,26,37
1,27,38
1,28,39
1,29,40
1,30,45
1,31,45
1,32,43
1,33,43
1,34,46
1,35,47
1,36,43
1,37,43
1,38,41
1,39,43
2,0,36
2,1,25
2,2,37
2,3,37
2,4,36
2,5,38
2,6,34
2,7,39
2,8,37
2,9,38
2,10,38
2,11,26
2,12,32
2,13,33
2,14,36
2,15,34
2,16,38
2,17,37
2,18,33
2,19,31
2,20,34
2,21,32
2,22,32
2,23,34
2,24,36
2,25,37
2,26,39
2,27,42
2,28,44
2,29,41
2,30,47
2,31,48
2,32,46
2,33,49
2,34,48
2,35,48
2,36,45
2,37,42
2,38,43
2,39,43
3,0,41
3,1,44
3,2,30
3,3,34
3,4,28
3,5,36
3,6,38
3,7,37
3,8,29
3,9,35
3,10,29
3,11,34
3,12,40
3,13,32
3,14,33
3,15,31
3,16,33
3,17,34
3,18,35
3,19,38
3,20,39
3,21,35
3,22,36
3,23,34
3,24,34
3,25,38
3,26,39
3,27,41
3,28,45
3,29,44
3,30,48
3,31,47
3,32,46
3,33,50
3,34,46
3,35,45
3,36,45
3,37,43
3,38,42
3,39,41
4,0,36
4,1,34
4,2,30
4,3,34
4,4,30
4,5,35
4,6,33
4,7,27
4,8,33
4,9,34
4,10,37
4,11,39
4,12,34
4,13,33
4,14,32
4,15,29
4,16,31
4,17,35
4,18,35
4,19,34
4,20,33
4,21,37
4,22,38
4,23,33
4,24,36
4,25,38
4,26,35
4,27,39
4,28,43
4,29,42
4,30,42
4,31,45
4,32,46
4,33,45
4,34,49
4,35,44
4,36,44
4,37,43
4,38,42
4,39,42
5,0,37
5,1,40
5,2,29
5,3,34
5,4,38
5,5,37
5,6,33
5,7,34
5,8,34
5,9,36
5,10,35
5,11,39
5,12,35
5,13,36
5,14,32
5,15,35
5,16,33
5,17,39
5,18,32
5,19,33
5,20,31
5,21,32
5,22,33
5,23,34
5,24,38
5,25,39
5,26,40
5,27,41
5,28,42
5,29,40
5,30,46
5,31,44
5,32,42
5,33,47
5,34,48
5,35,47
5,36,44
5,37,45
5,38,42
5,39,39
6,0,33
6,1,33
6,2,34
6,3,32
6,4,36
6,5,35
6,6,41
6,7,37
6,8,40
6,9,37
6,10,39
6,11,41
6,12,34
6,13,33
6,14,35
6,15,38
6,16,37
6,17,31
6,18,32
6,19,31
6,20,38
6,21,34
6,22,35
6,23,42
6,24,40
6,25,39
6,26,38
6,27,41
6,28,44
6,29,41
