id,n,magnitude
0,0,19
0,1,17
0,2,17
0,3,14
0,4,14
0,5,18
0,6,23
0,7,19
0,8,19
0,9,20
0,10,26
0,11,23
0,12,15
0,13,19
0,14,26
0,15,17
0,16,20
0,17,21
0,18,14
0,19,23
0,20,18
0,21,23
0,22,21
0,23,22
0,24,22
0,25,23
0,26,24
0,27,21
0,28,20
0,29,21
0,30,20
0,31,20
0,32,20
0,33,21
0,34,17
0,35,17
0,36,14
0,37,12
0,38,12
0,39,10
1,0,17
1,1,16
1,2,17
1,3,16
1,4,16
1,5,19
1,6,22
1,7,17
1,8,17
1,9,17
1,10,26
1,11,22
1,12,15
1,13,21
1,14,25
1,15,16
1,16,20
1,17,21
1,18,17
1,19,24
1,20,20
1,21,23
1,22,23
1,23,22
1,24,24
1,25,21
1,26,22
1,27,19
1,28,18
1,29,20
1,30,20
1,31,20
1,32,18
1,33,17
1,34,16
1,35,16
1,36,14
1,37,14
1,38,13
1,39,12
2,0,21
2,1,20
2,2,19
2,3,17
2,4,14
2,5,21
2,6,25
2,7,17
2,8,19
2,9,16
2,10,26
2,11,17
2,12,16
2,13,20
2,14,25
2,15,17
2,16,22
2,17,22
2,18,18
2,19,25
2,20,20
2,21,24
2,22,21
2,23,22
2,24,23
2,25,21
2,26,24
2,27,23
2,28,19
2,29,18
2,30,18
2,31,18
2,32,17
2,33,15
2,34,16
2,35,15
2,36,15
2,37,15
2,38,14
2,39,12
3,0,16
3,1,18
3,2,20
3,3,18
3,4,12
3,5,19
3,6,25
3,7,16
3,8,14
3,9,17
3,10,26
3,11,20
3,12,16
3,13,20
3,14,26
3,15,17
3,16,18
3,17,22
3,18,19
3,19,26
3,20,20
3,21,25
3,22,21
3,23,21
3,24,25
3,25,22
3,26,22
3,27,22
3,28,19
3,29,19
3,30,19
3,31,17
3,32,16
3,33,14
3,34,14
3,35,15
3,36,14
3,37,14
3,38,12
3,39,12
4,0,17
4,1,16
4,2,17
4,3,15
4,4,14
4,5,16
4,6,22
4,7,17
4,8,12
4,9,16
4,10,25
4,11,21
4,12,17
4,13,20
4,14,25
4,15,15
4,16,16
4,17,20
4,18,17
4,19,25
4,20,18
4,21,23
4,22,19
4,23,22
4,24,23
4,25,20
4,26,20
4,27,20
4,28,18
4,29,20
4,30,18
4,31,16
4,32,18
4,33,16
4,34,14
4,35,16
4,36,12
4,37,13
4,38,13
4,39,11
5,0,21
5,1,19
5,2,16
5,3,16
5,4,18
5,5,18
5,6,21
5,7,14
5,8,13
5,9,18
5,10,26
5,11,21
5,12,15
5,13,20
5,14,26
5,15,14
5,16,17
5,17,20
5,18,16
5,19,24
5,20,19
5,21,24
5,22,18
5,23,21
5,24,21
5,25,18
5,26,19
5,27,18
5,28,17
5,29,18
5,30,17
5,31,17
5,32,16
5,33,13
5,34,15
5,35,13
5,36,12
5,37,13
5,38,11
5,39,10
6,0,8
6,1,16
6,2,18
6,3,18
6,4,14
6,5,16
6,6,24
6,7,18
6,8,17
6,9,15
6,10,24
6,11,20
6,12,17
6,13,17
6,14,23
6,15,14
6,16,16
6,17,19
6,18,14
6,19,23
6,20,17
6,21,23
6,22,19
6,23,20
6,24,19
6,25,19
6,26,21
6,27,18
6,28,17
6,29,17
6,30,19
6,31,16
6,32,16
6,33,16
6,34,13
6,35,13
6,36,13
