id,n,magnitude
0,0,10
0,1,13
0,2,11
0,3,15
0,4,13
0,5,15
0,6,10
0,7,17
0,8,15
0,9,11
0,10,18
0,11,13
0,12,11
0,13,14
0,14,13
0,15,11
0,16,7
0,17,9
0,18,11
0,19,10
0,20,8
0,21,12
0,22,12
0,23,13
0,24,12
0,25,9
0,26,10
0,27,11
0,28,12
0,29,10
0,30,12
0,31,11
0,32,9
0,33,10
0,34,9
0,35,7
0,36,8
0,37,9
0,38,9
0,39,9
1,0,18
1,1,13
1,2,12
1,3,13
1,4,14
1,5,11
1,6,7
1,7,16
1,8,17
1,9,13
1,10,14
1,11,11
1,12,14
1,13,14
1,14,11
1,15,10
1,16,11
1,17,13
1,18,13
1,19,8
1,20,9
1,21,13
1,22,12
1,23,11
1,24,10
1,25,10
1,26,12
1,27,11
1,28,11
1,29,12
1,30,12
1,31,10
1,32,11
1,33,11
1,34,10
1,35,10
1,36,10
1,37,9
1,38,9
1,39,10
2,0,15
2,1,9
2,2,14
2,3,15
2,4,15
2,5,14
2,6,14
2,7,18
2,8,14
2,9,9
2,10,17
2,11,8
2,12,11
2,13,15
2,14,12
2,15,14
2,16,12
2,17,13
2,18,12
2,19,11
2,20,11
2,21,13
2,22,11
2,23,10
2,24,10
2,25,11
2,26,11
2,27,11
2,28,12
2,29,11
2,30,9
2,31,8
2,32,9
2,33,11
2,34,10
2,35,10
2,36,10
2,37,9
2,38,9
2,39,10
3,0,19
3,1,11
3,2,11
3,3,12
3,4,17
3,5,16
3,6,15
3,7,16
3,8,15
3,9,12
3,10,17
3,11,13
3,12,14
3,13,12
3,14,7
3,15,8
3,16,12
3,17,8
3,18,8
3,19,11
3,20,10
3,21,12
3,22,13
3,23,12
3,24,11
3,25,11
3,26,9
3,27,9
3,28,10
3,29,12
3,30,8
3,31,9
3,32,10
3,33,9
3,34,10
3,35,10
3,36,9
3,37,10
3,38,9
3,39,10
4,0,17
4,1,13
4,2,15
4,3,15
4,4,16
4,5,8
4,6,13
4,7,16
4,8,15
4,9,11
4,10,17
4,11,11
4,12,11
4,13,15
4,14,10
4,15,10
4,16,10
4,17,12
4,18,12
4,19,12
4,20,13
4,21,13
4,22,10
4,23,10
4,24,10
4,25,10
4,26,10
4,27,11
4,28,11
4,29,10
4,30,10
4,31,10
4,32,10
4,33,10
4,34,11
4,35,10
4,36,10
4,37,9
4,38,10
4,39,10
5,0,15
5,1,14
5,2,12
5,3,15
5,4,16
5,5,12
5,6,13
5,7,14
5,8,14
