id,n,magnitude
0,0,18
0,1,14
0,2,14
0,3,14
0,4,15
0,5,15
0,6,17
0,7,18
0,8,13
0,9,12
0,10,14
0,11,17
0,12,15
0,13,16
0,14,18
0,15,15
0,16,13
0,17,16
0,18,16
0,19,13
0,20,15
0,21,16
0,22,13
0,23,15
0,24,16
0,25,16
0,26,13
0,27,15
0,28,14
0,29,16
0,30,15
0,31,15
0,32,14
0,33,9
0,34,11
0,35,10
0,36,11
0,37,10
0,38,10
0,39,10
1,0,18
1,1,14
1,2,16
1,3,15
1,4,15
1,5,17
1,6,19
1,7,16
1,8,13
1,9,15
1,10,14
1,11,18
1,12,16
1,13,15
1,14,16
1,15,15
1,16,14
1,17,14
1,18,13
1,19,11
1,20,12
1,21,15
1,22,14
1,23,14
1,24,15
1,25,15
1,26,14
1,27,12
1,28,10
1,29,11
1,30,12
1,31,14
1,32,13
1,33,11
1,34,12
1,35,12
1,36,9
1,37,8
1,38,10
1,39,9
2,0,18
2,1,14
2,2,12
2,3,11
2,4,12
2,5,17
2,6,21
2,7,16
2,8,10
2,9,13
2,10,14
2,11,16
2,12,15
2,13,15
2,14,15
2,15,13
2,16,14
2,17,15
2,18,15
2,19,12
2,20,14
2,21,15
2,22,13
2,23,13
2,24,12
2,25,13
2,26,13
2,27,12
2,28,11
2,29,12
2,30,13
2,31,13
2,32,12
2,33,11
2,34,12
2,35,10
2,36,9
2,37,8
2,38,9
2,39,10
3,0,16
3,1,13
3,2,12
3,3,14
3,4,11
3,5,17
3,6,19
3,7,17
3,8,11
3,9,13
3,10,11
3,11,15
3,12,13
3,13,15
3,14,17
3,15,15
3,16,13
3,17,15
3,18,14
3,19,13
3,20,16
3,21,16
3,22,12
3,23,15
3,24,14
3,25,12
3,26,13
3,27,13
3,28,12
3,29,13
3,30,11
3,31,13
3,32,13
3,33,10
3,34,9
3,35,10
3,36,9
3,37,9
3,38,9
3,39,8
4,0,14
4,1,15
4,2,15
4,3,15
4,4,13
4,5,12
4,6,21
4,7,14
4,8,13
4,9,14
4,10,12
4,11,15
4,12,12
4,13,13
4,14,15
4,15,12
4,16,10
4,17,13
4,18,13
4,19,9
4,20,15
4,21,16
4,22,14
4,23,12
4,24,12
4,25,13
4,26,14
4,27,12
4,28,10
4,29,14
4,30,11
4,31,12
4,32,11
4,33,10
4,34,9
4,35,9
4,36,9
4,37,10
4,38,7
4,39,8
5,0,17
5,1,18
5,2,13
5,3,10
5,4,14
5,5,19
5,6,19
5,7,17
5,8,14
5,9,12
5,10,13
5,11,15
5,12,7
5,13,10
5,14,17
5,15,15
5,16,14
5,17,13
5,18,11
5,19,10
5,20,13
5,21,14
5,22,11
5,23,11
5,24,12
5,25,11
5,26,11
5,27,11
5,28,12
5,29,13
5,30,10
5,31,9
5,32,9
5,33,11
5,34,11
5,35,10
5,36,10
5,37,10
5,38,9
5,39,8
6,0,21
