id,n,magnitude
0,0,15
0,1,17
0,2,15
0,3,11
0,4,10
0,5,12
0,6,12
0,7,10
0,8,12
0,9,10
0,10,8
0,11,12
0,12,14
0,13,13
0,14,12
0,15,12
0,16,9
0,17,10
0,18,11
0,19,7
0,20,10
0,21,11
0,22,10
0,23,9
0,24,11
0,25,10
0,26,11
0,27,10
0,28,10
0,29,11
0,30,11
0,31,10
0,32,9
0,33,9
0,34,9
0,35,9
0,36,9
0,37,10
0,38,10
0,39,9
1,0,18
1,1,14
1,2,14
1,3,15
1,4,6
1,5,8
1,6,10
1,7,11
1,8,13
1,9,10
1,10,7
1,11,13
1,12,14
1,13,12
1,14,12
1,15,12
1,16,11
1,17,9
1,18,9
1,19,9
1,20,7
1,21,10
1,22,11
1,23,10
1,24,9
1,25,10
1,26,10
1,27,10
1,28,10
1,29,9
1,30,8
1,31,10
1,32,9
1,33,8
1,34,10
1,35,9
1,36,8
1,37,9
1,38,9
1,39,10
2,0,20
2,1,13
2,2,12
2,3,13
2,4,11
2,5,12
2,6,11
2,7,11
2,8,11
2,9,12
2,10,11
2,11,13
2,12,11
2,13,12
2,14,14
2,15,10
2,16,8
2,17,7
2,18,9
2,19,9
2,20,10
2,21,11
2,22,10
2,23,11
2,24,12
2,25,10
2,26,9
2,27,8
2,28,8
2,29,10
2,30,10
2,31,8
2,32,10
2,33,10
2,34,9
2,35,8
2,36,9
2,37,8
2,38,9
2,39,9
3,0,17
3,1,15
3,2,12
3,3,13
3,4,10
3,5,9
3,6,10
3,7,7
3,8,12
3,9,11
3,10,12
3,11,13
3,12,13
3,13,9
3,14,9
3,15,12
3,16,8
3,17,10
3,18,10
3,19,10
3,20,9
3,21,11
3,22,9
3,23,10
3,24,11
3,25,9
3,26,9
3,27,10
3,28,11
3,29,8
3,30,9
3,31,9
3,32,12
3,33,10
3,34,11
3,35,8
3,36,9
3,37,10
3,38,9
3,39,8
4,0,16
4,1,12
4,2,12
4,3,10
4,4,15
4,5,12
4,6,7
4,7,7
4,8,13
4,9,12
4,10,8
4,11,14
4,12,14
4,13,13
4,14,11
4,15,10
4,16,9
4,17,11
4,18,8
4,19,8
4,20,10
4,21,10
4,22,11
4,23,11
4,24,10
4,25,10
4,26,9
4,27,11
4,28,10
4,29,10
4,30,10
4,31,11
4,32,10
4,33,9
4,34,10
4,35,10
4,36,10
4,37,10
4,38,9
4,39,9
5,0,19
5,1,17
5,2,14
5,3,14
5,4,10
5,5,13
5,6,13
5,7,12
5,8,13
5,9,11
5,10,11
5,11,13
5,12,14
5,13,13
5,14,13
5,15,13
5,16,11
5,17,10
5,18,7
5,19,8
5,20,9
5,21,10
5,22,12
5,23,11
5,24,10
5,25,11
5,26,10
5,27,11
5,28,8
5,29,8
5,30,10
5,31,8
5,32,10
5,33,9
5,34,8
5,35,9
5,36,10
5,37,8
5,38,9
5,39,9
6,0,19
6,1,15
6,2,14
6,3,10
6,4,11
6,5,8
6,6,6
6,7,13
6,8,14
6,9,7
6,10,12
6,11,15
6,12,15
6,13,13
6,14,12
6,15,11
6,16,10
6,17,11
6,18,11
6,19,10
6,20,9
6,21,10
6,22,11
6,23,11
6,24,10
6,25,11
6,26,10
6,27,11
6,28,10
6,29,9
6,30,10
6,31,8
6,32,8
6,33,10
6,34,10
6,35,9
6,36,9
6,37,9
6,38,10
6,39,10
7,0,12
7,1,13
7,2,9
7,3,10
7,4,14
7,5,14
7,6,11
7,7,13
7,8,12
7,9,12
7,10,12
7,11,15
7,12,14
7,13,14
7,14,11
7,15,12
7,16,10
7,17,9
7,18,11
7,19,10
7,20,11
7,21,12
7,22,12
7,23,11
7,24,10
7,25,10
7,26,9
7,27,11
7,28,11
7,29,9
7,30,10
7,31,10
7,32,10
7,33,9
7,34,11
7,35,9
7,36,10
7,37,9
7,38,10
7,39,9
8,0,16
8,1,12
8,2,11
8,3,13
8,4,14
8,5,14
8,6,11
8,7,10
8,8,12
8,9,12
8,10,9
8,11,13
8,12,10
8,13,11
8,14,11
8,15,11
8,16,8
8,17,6
8,18,11
8,19,9
8,20,8
8,21,9
8,22,10
8,23,11
8,24,10
8,25,9
8,26,11
8,27,10
8,28,9
8,29,10
8,30,11
8,31,10
8,32,10
8,33,10
8,34,10
8,35,9
8,36,9
8,37,10
8,38,9
8,39,9
9,0,14
9,1,11
9,2,11
9,3,13
9,4,10
9,5,14
9,6,11
9,7,11
9,8,12
9,9,11
9,10,16
9,11,15
9,12,17
9,13,14
9,14,11
9,15,9
9,16,12
9,17,13
9,18,10
9,19,11
9,20,9
9,21,10
9,22,11
9,23,9
9,24,11
9,25,12
9,26,9
9,27,13
9,28,11
9,29,10
9,30,10
9,31,10
9,32,10
9,33,10
9,34,10
9,35,9
9,36,9
9,37,9
9,38,9
9,39,9
10,0,10
10,1,12
10,2,11
10,3,10
10,4,14
10,5,10
10,6,13
10,7,13
10,8,14
10,9,14
10,10,14
10,11,16
10,12,19
10,13,17
10,14,11
10,15,9
10,16,13
10,17,12
