id,n,magnitude
0,0,35
0,1,22
0,2,24
0,3,23
0,4,23
0,5,19
0,6,22
0,7,20
0,8,25
0,9,17
0,10,18
0,11,16
0,12,20
0,13,18
0,14,20
0,15,20
0,16,22
0,17,20
0,18,21
0,19,23
0,20,22
0,21,26
0,22,24
0,23,22
0,24,22
0,25,16
0,26,18
0,27,23
0,28,23
0,29,21
0,30,21
0,31,21
0,32,21
0,33,16
0,34,15
0,35,20
0,36,17
0,37,21
0,38,20
0,39,17
1,0,36
1,1,29
1,2,24
1,3,22
1,4,24
1,5,17
1,6,15
1,7,20
1,8,20
1,9,23
1,10,22
1,11,22
1,12,15
1,13,19
1,14,17
1,15,25
1,16,23
1,17,24
1,18,21
1,19,23
1,20,19
1,21,24
1,22,21
1,23,20
1,24,21
1,25,18
1,26,21
1,27,20
1,28,21
1,29,18
1,30,18
1,31,19
1,32,15
1,33,16
1,34,18
1,35,20
1,36,19
1,37,18
1,38,16
1,39,20
2,0,34
2,1,29
2,2,30
2,3,25
2,4,16
2,5,16
2,6,18
2,7,20
2,8,21
2,9,15
2,10,13
2,11,13
2,12,13
2,13,23
2,14,19
2,15,13
2,16,19
2,17,18
2,18,22
2,19,25
2,20,19
2,21,20
2,22,19
2,23,18
2,24,20
2,25,17
2,26,23
2,27,19
2,28,16
2,29,14
2,30,19
2,31,19
2,32,22
2,33,16
2,34,20
2,35,22
2,36,20
2,37,18
2,38,17
2,39,19
3,0,35
3,1,24
3,2,25
3,3,27
3,4,21
3,5,17
3,6,23
3,7,25
3,8,24
3,9,26
3,10,21
3,11,19
3,12,20
3,13,19
3,14,14
3,15,18
3,16,26
3,17,16
3,18,19
3,19,24
3,20,22
3,21,18
3,22,20
3,23,18
3,24,22
3,25,25
3,26,24
3,27,20
3,28,22
3,29,21
3,30,18
3,31,18
3,32,19
3,33,18
3,34,18
3,35,19
3,36,23
3,37,20
3,38,17
3,39,18
4,0,40
4,1,32
4,2,28
4,3,23
4,4,23
4,5,17
4,6,17
4,7,20
4,8,23
4,9,22
4,10,20
4,11,24
4,12,21
4,13,22
4,14,21
4,15,15
4,16,22
4,17,17
4,18,21
4,19,19
4,20,16
4,21,25
4,22,22
4,23,23
4,24,26
4,25,20
4,26,22
4,27,21
4,28,20
4,29,20
4,30,18
4,31,22
4,32,21
4,33,17
4,34,19
4,35,19
4,36,19
4,37,17
4,38,17
4,39,18
5,0,41
5,1,20
5,2,30
5,3,20
5,4,13
5,5,15
5,6,16
5,7,13
5,8,25
5,9,24
5,10,18
5,11,15
5,12,16
5,13,21
5,14,29
5,15,23
5,16,23
5,17,21
5,18,20
5,19,23
5,20,18
5,21,21
5,22,23
5,23,22
5,24,20
5,25,14
5,26,16
5,27,22
5,28,21
5,29,21
5,30,20
5,31,18
5,32,19
5,33,18
5,34,20
5,35,17
5,36,19
5,37,17
5,38,18
5,39,21
6,0,36
6,1,21
6,2,23
6,3,23
6,4,20
6,5,16
6,6,17
6,7,18
6,8,15
6,9,17
6,10,16
6,11,12
6,12,18
6,13,23
6,14,27
6,15,24
6,16,23
6,17,20
6,18,18
6,19,21
6,20,18
6,21,22
6,22,22
6,23,22
6,24,22
6,25,19
6,26,20
6,27,20
6,28,16
6,29,22
6,30,23
6,31,20
6,32,19
6,33,19
6,34,18
6,35,18
6,36,14
6,37,17
6,38,16
6,39,17
7,0,28
7,1,32
7,2,29
7,3,25
7,4,27
7,5,16
7,6,17
7,7,25
7,8,20
7,9,16
7,10,18
7,11,19
7,12,13
7,13,20
7,14,22
7,15,24
7,16,23
7,17,16
7,18,19
7,19,19
7,20,21
7,21,23
7,22,21
7,23,19
7,24,22
7,25,24
7,26,21
7,27,21
7,28,21
7,29,21
7,30,20
7,31,22
7,32,20
7,33,18
7,34,15
7,35,19
7,36,19
7,37,18
7,38,19
7,39,21
8,0,37
8,1,26
8,2,27
8,3,21
8,4,25
8,5,22
8,6,17
8,7,14
8,8,21
8,9,25
8,10,26
8,11,23
8,12,24
8,13,17
8,14,13
8,15,17
8,16,18
8,17,17
8,18,21
8,19,22
8,20,17
8,21,20
8,22,21
8,23,21
8,24,21
8,25,15
8,26,21
8,27,20
8,28,21
8,29,17
8,30,17
8,31,19
8,32,20
8,33,22
8,34,20
8,35,18
8,36,18
8,37,20
8,38,21
8,39,18
9,0,33
9,1,30
9,2,26
9,3,27
9,4,24
9,5,24
9,6,14
9,7,19
9,8,16
9,9,14
9,10,20
9,11,19
9,12,12
9,13,14
9,14,23
9,15,19
9,16,15
9,17,23
9,18,21
9,19,23
9,20,16
9,21,18
9,22,20
9,23,20
9,24,22
9,25,20
9,26,20
9,27,21
9,28,16
9,29,16
9,30,18
9,31,21
9,32,19
9,33,21
9,34,21
9,35,20
9,36,16
9,37,18
9,38,20
9,39,19
10,0,36
10,1,26
10,2,24
10,3,23
10,4,26
10,5,25
10,6,17
10,7,13
10,8,13
10,9,18
10,10,15
10,11,17
10,12,8
10,13,12
10,14,19
10,15,20
10,16,20
10,17,19
10,18,20
10,19,19
10,20,20
10,21,19
10,22,14
10,23,18
10,24,19
10,25,21
10,26,20
10,27,18
10,28,19
10,29,21
10,30,18
10,31,20
10,32,21
10,33,17
10,34,20
10,35,18
10,36,19
10,37,18
10,38,19
10,39,17
11,0,40
11,1,33
11,2,24
11,3,22
11,4,23
11,5,21
11,6,22
11,7,24
11,8,17
11,9,20
11,10,15
11,11,24
11,12,24
11,13,26
11,14,25
11,15,19
11,16,18
11,17,19
11,18,17
11,19,17
11,20,22
11,21,22
11,22,17
11,23,20
11,24,20
11,25,21
11,26,22
11,27,21
11,28,21
11,29,20
11,30,19
11,31,17
11,32,16
11,33,19
11,34,18
11,35,15
11,36,17
11,37,19
11,38,19
11,39,19
12,0,33
12,1,22
12,2,24
12,3,18
12,4,19
12,5,16
12,6,18
12,7,25
12,8,25
12,9,24
12,10,22
12,11,14
12,12,23
12,13,25
12,14,20
12,15,16
12,16,18
12,17,20
12,18,17
12,19,16
12,20,21
12,21,22
12,22,16
12,23,19
12,24,20
12,25,22
12,26,20
12,27,21
12,28,23
12,29,15
12,30,21
12,31,20
12,32,19
12,33,18
12,34,16
12,35,18
12,36,17
12,37,19
12,38,18
12,39,18
13,0,33
13,1,33
13,2,28
13,3,18
13,4,25
13,5,19
13,6,23
13,7,21
13,8,23
13,9,25
13,10,19
13,11,25
13,12,20
13,13,11
13,14,15
13,15,21
13,16,17
13,17,18
13,18,17
13,19,18
13,20,25
13,21,16
13,22,17
13,23,22
13,24,17
13,25,19
13,26,20
13,27,19
13,28,18
13,29,19
13,30,17
13,31,19
13,32,19
13,33,20
13,34,18
13,35,20
13,36,20
13,37,22
13,38,19
13,39,22
14,0,34
14,1,26
14,2,25
14,3,28
14,4,28
14,5,25
14,6,25
14,7,18
14,8,21
14,9,21
14,10,25
14,11,21
14,12,16
14,13,17
14,14,21
14,15,19
14,16,20
14,17,21
14,18,18
14,19,19
14,20,19
14,21,24
14,22,25
14,23,21
14,24,22
14,25,19
14,26,22
14,27,22
14,28,19
14,29,20
14,30,24
14,31,19
14,32,19
14,33,20
14,34,20
14,35,20
14,36,19
14,37,20
14,38,20
14,39,17
15,0,35
15,1,30
15,2,23
15,3,21
15,4,21
15,5,15
15,6,16
15,7,24
15,8,20
15,9,21
15,10,14
15,11,14
15,12,25
15,13,23
15,14,21
15,15,22
15,16,20
15,17,18
15,18,18
15,19,20
15,20,22
15,21,16
15,22,17
15,23,20
15,24,22
15,25,22
15,26,17
15,27,18
15,28,21
15,29,21
15,30,20
15,31,21
15,32,22
15,33,19
15,34,19
15,35,19
15,36,20
15,37,21
15,38,19
15,39,20
16,0,37
16,1,30
16,2,22
16,3,19
16,4,13
16,5,21
16,6,23
16,7,23
16,8,20
16,9,24
16,10,24
16,11,17
16,12,20
16,13,24
16,14,21
16,15,20
16,16,23
16,17,24
16,18,18
16,19,13
16,20,17
16,21,21
16,22,24
16,23,19
