id,n,magnitude
0,0,21
0,1,17
0,2,15
0,3,10
0,4,10
0,5,13
0,6,10
0,7,13
0,8,14
0,9,17
0,10,14
0,11,12
0,12,13
0,13,15
0,14,29
0,15,26
0,16,21
0,17,15
0,18,14
0,19,13
0,20,13
0,21,14
0,22,14
0,23,10
0,24,16
0,25,14
0,26,18
0,27,17
0,28,16
0,29,15
0,30,16
0,31,13
0,32,13
0,33,14
0,34,15
0,35,14
0,36,12
0,37,15
0,38,14
0,39,12
1,0,22
1,1,18
1,2,16
1,3,13
1,4,11
1,5,11
1,6,14
1,7,16
1,8,15
1,9,12
1,10,14
1,11,15
1,12,9
1,13,14
1,14,29
1,15,27
1,16,18
1,17,14
1,18,14
1,19,12
1,20,12
1,21,14
1,22,14
1,23,11
1,24,14
1,25,13
1,26,17
1,27,16
1,28,15
1,29,14
1,30,16
1,31,14
1,32,14
1,33,14
1,34,14
1,35,16
1,36,13
1,37,14
1,38,14
1,39,12
2,0,17
2,1,12
2,2,15
2,3,12
2,4,13
2,5,13
2,6,12
2,7,13
2,8,14
2,9,16
2,10,12
2,11,14
2,12,13
2,13,17
2,14,29
2,15,25
2,16,19
2,17,14
2,18,14
2,19,12
2,20,12
2,21,14
2,22,14
2,23,13
2,24,14
2,25,12
2,26,18
2,27,17
2,28,17
2,29,15
2,30,15
2,31,13
2,32,14
2,33,14
2,34,14
2,35,15
2,36,13
2,37,12
2,38,13
2,39,13
3,0,16
3,1,16
3,2,11
3,3,11
3,4,14
3,5,15
3,6,14
3,7,14
3,8,13
3,9,13
3,10,12
3,11,15
3,12,12
3,13,15
3,14,29
3,15,24
3,16,17
3,17,12
3,18,12
3,19,13
3,20,13
3,21,15
3,22,15
3,23,13
3,24,13
3,25,13
3,26,17
3,27,17
3,28,16
3,29,14
3,30,15
3,31,14
3,32,12
3,33,12
3,34,13
3,35,15
3,36,14
3,37,13
3,38,14
3,39,13
4,0,20
4,1,19
4,2,17
4,3,11
4,4,15
4,5,14
4,6,16
4,7,13
4,8,14
4,9,12
4,10,11
4,11,13
4,12,14
4,13,16
4,14,28
4,15,25
4,16,17
4,17,15
4,18,11
4,19,13
4,20,14
4,21,14
4,22,16
4,23,14
4,24,13
4,25,13
4,26,17
4,27,16
4,28,14
4,29,13
4,30,15
4,31,13
4,32,14
4,33,14
4,34,12
4,35,14
4,36,14
4,37,12
4,38,12
4,39,12
5,0,20
5,1,19
5,2,16
5,3,13
5,4,14
5,5,13
5,6,14
5,7,13
5,8,11
5,9,14
5,10,14
5,11,15
5,12,14
5,13,16
5,14,28
5,15,23
5,16,15
5,17,14
5,18,12
5,19,12
5,20,11
5,21,14
5,22,14
5,23,12
5,24,12
5,25,13
5,26,16
5,27,17
5,28,14
5,29,13
5,30,15
5,31,13
5,32,13
5,33,12
5,34,12
5,35,14
5,36,12
5,37,11
5,38,13
5,39,12
6,0,20
6,1,18
6,2,17
6,3,17
6,4,14
6,5,11
6,6,11
6,7,9
6,8,8
6,9,12
6,10,13
6,11,13
6,12,11
6,13,13
6,14,27
6,15,21
6,16,17
6,17,14
6,18,13
6,19,13
6,20,12
6,21,14
6,22,13
6,23,13
6,24,10
6,25,12
6,26,16
6,27,15
6,28,14
6,29,12
6,30,15
6,31,12
6,32,13
6,33,14
6,34,12
6,35,13
6,36,12
6,37,12
6,38,12
6,39,11
7,0,20
7,1,15
7,2,14
7,3,15
7,4,16
7,5,12
7,6,13
7,7,10
7,8,11
7,9,13
7,10,10
7,11,9
7,12,12
7,13,16
7,14,28
7,15,22
7,16,11
7,17,8
7,18,10
7,19,13
7,20,11
7,21,14
7,22,14
7,23,10
7,24,13
7,25,13
7,26,18
7,27,14
7,28,11
7,29,12
7,30,14
7,31,11
7,32,11
7,33,15
7,34,12
7,35,13
7,36,11
7,37,11
7,38,12
7,39,10
8,0,14
8,1,13
8,2,13
8,3,17
8,4,16
8,5,13
8,6,13
8,7,13
8,8,11
8,9,10
8,10,9
8,11,14
8,12,10
8,13,15
8,14,23
8,15,22
8,16,12
8,17,11
8,18,12
8,19,12
8,20,14
8,21,16
8,22,14
8,23,10
8,24,12
8,25,11
8,26,15
8,27,15
8,28,12
8,29,12
8,30,11
8,31,12
8,32,11
8,33,12
8,34,9
8,35,11
8,36,10
8,37,10
8,38,11
8,39,9
9,0,16
9,1,12
9,2,16
9,3,17
9,4,12
9,5,9
9,6,12
9,7,15
9,8,13
9,9,14
9,10,10
9,11,9
9,12,6
9,13,13
9,14,22
9,15,19
9,16,16
9,17,11
9,18,10
9,19,10
9,20,11
9,21,11
9,22,13
9,23,12
9,24,12
9,25,13
9,26,16
9,27,14
9,28,11
9,29,11
9,30,12
9,31,11
9,32,11
9,33,13
9,34,10
9,35,10
9,36,10
9,37,9
9,38,12
9,39,10
10,0,21
10,1,19
10,2,15
10,3,8
10,4,11
10,5,16
10,6,17
10,7,16
10,8,14
10,9,12
10,10,12
10,11,14
10,12,12
10,13,16
10,14,22
10,15,18
10,16,15
10,17,11
10,18,9
10,19,11
10,20,10
10,21,13
10,22,12
10,23,10
10,24,11
10,25,10
10,26,15
10,27,14
10,28,12
10,29,11
10,30,12
10,31,12
10,32,10
10,33,10
10,34,10
10,35,11
10,36,11
10,37,10
10,38,9
10,39,9
11,0,17
11,1,17
11,2,15
11,3,14
11,4,16
11,5,15
11,6,12
11,7,12
11,8,12
11,9,11
11,10,10
11,11,12
11,12,18
11,13,23
11,14,20
11,15,21
11,16,16
11,17,13
11,18,12
11,19,13
11,20,14
11,21,12
11,22,12
11,23,10
11,24,10
11,25,12
11,26,15
11,27,13
11,28,11
11,29,11
11,30,12
11,31,14
11,32,13
11,33,13
11,34,12
11,35,11
11,36,10
11,37,11
11,38,9
11,39,9
12,0,17
12,1,9
12,2,14
12,3,11
12,4,10
12,5,12
12,6,16
12,7,13
12,8,11
12,9,12
12,10,14
12,11,12
12,12,15
12,13,28
12,14,23
12,15,22
12,16,16
12,17,12
12,18,13
12,19,13
12,20,14
12,21,12
12,22,12
12,23,12
12,24,14
12,25,16
