id,n,magnitude
0,1,20
0,2,26
0,3,18
0,4,26
0,5,28
0,6,27
0,7,26
0,8,23
0,9,21
0,10,25
0,11,26
0,12,21
0,13,25
0,14,31
0,15,29
0,16,23
0,17,23
0,18,26
0,19,31
0,20,33
0,21,34
0,22,34
0,23,34
0,24,33
0,25,33
0,26,27
0,27,30
0,28,27
0,29,26
0,30,31
0,31,28
0,32,27
0,33,22
0,34,20
0,35,23
0,36,23
0,37,22
0,38,21
0,39,22
0,40,22
0,41,18
0,42,18
0,43,17
0,44,16
0,45,25
0,46,25
0,47,21
0,48,15
0,49,15
0,50,26
0,51,34
0,52,21
0,53,22
0,54,28
0,55,33
0,56,29
0,57,31
0,58,25
0,59,28
0,60,31
0,61,35
0,62,34
0,63,35
0,64,33
0,65,34
0,66,30
0,67,31
0,68,28
0,69,27
0,70,30
0,71,28
0,72,25
0,73,24
0,74,26
0,75,24
0,76,21
0,77,22
0,78,25
0,79,21
0,80,20
0,81,20
0,82,22
0,83,22
0,84,24
0,85,23
0,86,24
0,87,21
0,88,26
0,89,26
0,90,23
0,91,25
0,92,27
0,93,28
0,94,24
0,95,30
0,96,28
0,97,31
0,98,21
0,99,33
0,100,27
0,101,33
0,102,34
0,103,34
0,104,32
0,105,30
0,106,29
0,107,30
0,108,30
0,109,27
0,110,27
0,111,27
0,112,25
0,113,25
0,114,22
0,115,24
0,116,22
0,117,24
0,118,23
0,119,23
0,120,21
0,121,16
0,122,19
0,123,16
0,124,27
0,125,24
0,126,24
0,127,22
0,128,25
0,129,28
0,130,27
0,131,35
0,132,27
0,133,31
0,134,28
0,135,26
0,136,27
0,137,30
0,138,24
0,139,30
0,140,25
0,141,31
0,142,34
0,143,36
0,144,38
0,145,35
0,146,30
0,147,28
0,148,28
0,149,29
0,150,32
0,151,25
0,152,21
0,153,24
0,154,23
0,155,21
0,156,22
0,157,22
0,158,21
0,159,22
0,160,22
0,161,27
0,162,21
0,163,18
0,164,17
0,165,29
0,166,27
0,167,22
0,168,25
0,169,29
0,170,27
0,171,30
0,172,20
0,173,35
0,174,29
0,175,20
0,176,30
0,177,32
0,178,26
0,179,34
0,180,26
0,181,28
0,182,36
0,183,34
0,184,30
0,185,26
0,186,27
0,187,28
0,188,26
0,189,27
0,190,28
0,191,23
0,192,26
0,193,24
0,194,22
0,195,23
0,196,23
0,197,23
0,198,22
0,199,21
0,200,21
0,201,25
0,202,7
0,203,17
0,204,26
0,205,33
0,206,28
0,207,26
0,208,16
0,209,29
0,210,26
0,211,22
0,212,27
0,213,34
0,214,29
0,215,26
0,216,31
0,217,32
0,218,25
0,219,33
0,220,27
0,221,28
0,222,38
0,223,37
0,224,30
0,225,31
0,226,26
0,227,31
0,228,28
0,229,29
0,230,30
0,231,26
0,232,23
0,233,22
0,234,26
0,235,23
0,236,22
0,237,21
0,238,22
0,239,21
0,240,20
0,241,22
0,242,17
0,243,11
0,244,21
0,245,26
0,246,24
0,247,26
0,248,20
0,249,27
0,250,27
0,251,29
0,252,28
0,253,36
0,254,29
0,255,26
0,256,29
0,257,32
0,258,22
0,259,31
0,260,28
0,261,26
0,262,33
0,263,31
0,264,32
0,265,31
0,266,28
0,267,32
0,268,29
0,269,26
0,270,26
0,271,28
0,272,28
0,273,22
0,274,22
0,275,24
0,276,20
0,277,22
0,278,21
0,279,22
0,280,22
0,281,31
0,282,27
0,283,16
0,284,27
0,285,26
0,286,24
0,287,21
0,288,21
0,289,32
0,290,25
0,291,24
0,292,29
0,293,38
0,294,32
0,295,25
0,296,29
0,297,33
0,298,19
0,299,31
0,300,30
0,301,18
0,302,34
0,303,38
0,304,31
0,305,32
0,306,31
0,307,29
0,308,27
0,309,31
0,310,32
0,311,30
0,312,27
0,313,20
0,314,21
0,315,24
0,316,22
0,317,23
0,318,24
0,319,21
0,320,22
0,321,31
0,322,21
0,323,18
0,324,20
0,325,32
0,326,29
0,327,19
0,328,20
0,329,30
0,330,29
0,331,28
0,332,29
0,333,37
0,334,31
0,335,28
0,336,22
0,337,32
0,338,29
0,339,32
0,340,20
0,341,31
0,342,36
0,343,37
0,344,28
0,345,29
0,346,28
0,347,31
0,348,28
0,349,27
0,350,30
0,351,26
0,352,25
0,353,22
0,354,26
0,355,29
0,356,25
0,357,21
0,358,22
0,359,23
0,360,22
0,361,23
0,362,18
0,363,24
0,364,19
0,365,33
0,366,30
0,367,25
0,368,19
0,369,30
0,370,28
0,371,22
0,372,26
0,373,35
0,374,32
0,375,27
0,376,20
0,377,30
0,378,24
0,379,29
0,380,24
0,381,26
0,382,38
0,383,34
0,384,31
0,385,32
0,386,26
0,387,27
0,388,26
0,389,27
0,390,27
0,391,28
0,392,27
0,393,23
0,394,24
0,395,26
0,396,23
0,397,21
0,398,21
0,399,23
0,400,21
0,401,28
0,402,22
0,403,18
0,404,26
0,405,34
0,406,29
0,407,28
0,408,23
0,409,29
0,410,26
0,411,26
0,412,27
0,413,34
0,414,28
0,415,31
0,416,24
0,417,29
0,418,26
0,419,34
0,420,29
0,421,27
0,422,36
0,423,35
0,424,31
0,425,31
0,426,29
0,427,26
0,428,26
0,429,27
0,430,25
0,431,26
0,432,24
0,433,21
0,434,22
0,435,21
0,436,21
0,437,21
0,438,22
0,439,22
0,440,22
0,441,26
0,442,21
0,443,10
0,444,24
0,445,30
0,446,30
0,447,25
0,448,23
0,449,32
0,450,30
0,451,20
0,452,24
0,453,33
0,454,24
0,455,27
0,456,25
0,457,29
0,458,26
0,459,33
0,460,30
0,461,28
0,462,36
0,463,33
0,464,33
0,465,29
0,466,27
0,467,26
0,468,26
0,469,25
0,470,26
0,471,27
0,472,26
0,473,23
0,474,22
0,475,21
0,476,22
0,477,20
0,478,22
0,479,19
0,480,21
0,481,13
0,482,15
0,483,20
0,484,26
0,485,33
0,486,32
0,487,21
0,488,27
0,489,29
0,490,21
0,491,24
0,492,21
0,493,29
0,494,26
0,495,25
0,496,27
0,497,29
0,498,27
0,499,36
0,500,31
0,501,28
0,502,35
0,503,32
0,504,31
0,505,29
0,506,26
0,507,27
0,508,24
0,509,26
0,510,25
0,511,26
0,512,24
0,513,23
0,514,24
0,515,22
0,516,22
0,517,21
0,518,23
0,519,22
0,520,22
0,521,24
0,522,22
0,523,21
0,524,23
0,525,35
0,526,32
0,527,21
0,528,23
0,529,29
0,530,20
0,531,22
0,532,22
0,533,28
0,534,24
0,535,31
0,536,29
0,537,24
0,538,20
0,539,33
0,540,27
0,541,32
0,542,29
0,543,32
0,544,31
0,545,29
0,546,29
0,547,25
0,548,20
0,549,24
0,550,28
0,551,24
0,552,22
0,553,21
0,554,22
0,555,19
0,556,18
0,557,20
0,558,22
0,559,24
0,560,20
0,561,17
0,562,8
0,563,23
0,564,29
0,565,31
0,566,29
0,567,27
0,568,18
0,569,27
0,570,23
0,571,26
0,572,27
0,573,31
0,574,26
0,575,30
0,576,21
0,577,24
0,578,22
0,579,32
0,580,24
0,581,27
0,582,34
0,583,35
0,584,32
0,585,28
0,586,28
0,587,27
0,588,23
0,589,24
0,590,28
0,591,28
0,592,21
0,593,22
0,594,20
0,595,21
0,596,23
0,597,21
0,598,19
0,599,23
0,600,21
0,601,21
0,602,19
0,603,17
0,604,13
0,605,26
0,606,25
0,607,27
0,608,19
0,609,23
0,610,23
0,611,28
0,612,27
0,613,29
0,614,29
0,615,28
0,616,28
0,617,32
0,618,26
0,619,33
0,620,27
0,621,26
0,622,37
0,623,30
0,624,30
0,625,24
0,626,22
0,627,23
0,628,21
0,629,24
0,630,26
0,631,24
0,632,22
0,633,21
0,634,25
0,635,20
0,636,19
0,637,21
0,638,23
0,639,22
0,640,21
0,641,21
0,642,18
0,643,22
0,644,29
0,645,26
0,646,23
0,647,26
0,648,3
0,649,26
0,650,21
0,651,26
0,652,29
0,653,31
0,654,28
0,655,28
0,656,25
0,657,24
0,658,23
0,659,32
0,660,30
0,661,31
0,662,35
0,663,29
0,664,28
0,665,26
0,666,29
0,667,26
0,668,23
0,669,27
0,670,25
0,671,24
0,672,21
0,673,21
0,674,23
0,675,22
0,676,22
0,677,19
0,678,20
0,679,23
0,680,22
0,681,7
0,682,14
0,683,17
0,684,18
0,685,29
0,686,27
0,687,25
0,688,16
0,689,26
0,690,19
0,691,24
0,692,25
0,693,28
0,694,23
0,695,24
0,696,29
0,697,30
0,698,20
0,699,34
0,700,30
0,701,29
0,702,35
0,703,29
0,704,27
0,705,27
0,706,24
0,707,25
0,708,23
0,709,22
0,710,23
0,711,20
0,712,22
0,713,21
0,714,22
0,715,18
0,716,18
0,717,20
0,718,22
0,719,22
0,720,23
0,721,24
0,722,19
0,723,20
0,724,25
0,725,30
0,726,26
0,727,29
0,728,24
0,729,25
0,730,22
0,731,28
0,732,31
0,733,31
0,734,28
0,735,28
0,736,31
0,737,30
0,738,18
0,739,29
0,740,24
0,741,27
0,742,27
0,743,27
0,744,28
0,745,26
0,746,28
0,747,25
0,748,25
0,749,22
0,750,22
0,751,24
0,752,22
0,753,22
0,754,22
0,755,24
0,756,21
0,757,17
0,758,20
0,759,24
0,760,23
0,761,28
0,762,20
0,763,14
0,764,27
0,765,25
0,766,26
0,767,30
0,768,13
0,769,20
0,770,22
0,771,30
0,772,32
0,773,32
0,774,26
0,775,30
0,776,29
0,777,30
0,778,21
0,779,26
0,780,27
0,781,24
0,782,31
0,783,33
0,784,28
0,785,26
0,786,26
0,787,25
0,788,21
0,789,24
0,790,24
0,791,23
0,792,24
0,793,24
0,794,22
0,795,22
0,796,20
0,797,22
0,798,21
0,799,22
0,800,20
0,801,26
0,802,18
0,803,26
0,804,26
0,805,28
0,806,29
0,807,32
0,808,17
0,809,25
0,810,28
0,811,27
0,812,29
0,813,32
0,814,29
0,815,24
0,816,25
0,817,26
0,818,24
0,819,29
0,820,27
0,821,24
0,822,34
0,823,30
0,824,29
0,825,26
0,826,27
0,827,25
0,828,24
0,829,25
0,830,25
0,831,24
0,832,23
0,833,23
0,834,21
