id,n,magnitude
0,1,112
0,2,48
0,3,34
0,4,27
0,5,30
0,6,23
0,7,34
0,8,40
0,9,33
0,10,31
0,11,37
0,12,34
0,13,34
0,14,34
0,15,39
0,16,34
0,17,31
0,18,34
0,19,31
0,20,28
0,21,29
0,22,28
0,23,28
0,24,24
0,25,21
0,26,25
0,27,19
0,28,13
0,29,19
0,30,13
0,31,12
0,32,9
0,33,13
0,34,9
0,35,0
0,36,5
0,37,6
0,38,6
0,39,11
0,40,14
0,41,78
0,42,39
0,43,25
0,44,30
0,45,21
0,46,23
0,47,24
0,48,34
0,49,34
0,50,34
0,51,32
0,52,38
0,53,36
0,54,37
0,55,34
0,56,37
0,57,29
0,58,28
0,59,34
0,60,30
0,61,26
0,62,31
0,63,23
0,64,22
0,65,28
0,66,26
0,67,20
0,68,21
0,69,16
0,70,13
0,71,10
0,72,13
0,73,10
0,74,5
0,75,2
0,76,5
0,77,6
0,78,1
0,79,5
0,80,4
0,81,59
0,82,40
0,83,29
0,84,21
0,85,27
0,86,26
0,87,28
0,88,35
0,89,36
0,90,28
0,91,35
0,92,36
0,93,38
0,94,35
0,95,37
0,96,31
0,97,32
0,98,32
0,99,36
0,100,33
0,101,30
0,102,33
0,103,25
0,104,24
0,105,22
0,106,26
0,107,22
0,108,19
0,109,18
0,110,15
0,111,5
0,112,14
0,113,10
0,114,0
0,115,5
0,116,0
0,117,2
0,118,0
0,119,8
0,120,-7
0,121,108
0,122,47
0,123,39
0,124,38
0,125,25
0,126,40
0,127,30
0,128,36
0,129,31
0,130,19
0,131,35
0,132,34
0,133,33
0,134,34
0,135,37
0,136,35
0,137,34
0,138,30
0,139,33
0,140,30
0,141,27
0,142,29
0,143,23
0,144,23
0,145,24
0,146,25
0,147,20
0,148,18
0,149,16
0,150,19
0,151,2
0,152,9
0,153,17
0,154,6
0,155,9
0,156,6
0,157,1
0,158,10
0,159,5
0,160,10
0,161,111
0,162,41
0,163,29
0,164,32
0,165,23
0,166,31
0,167,30
0,168,26
0,169,30
0,170,30
0,171,35
0,172,30
0,173,40
0,174,35
0,175,33
0,176,36
0,177,29
0,178,35
0,179,33
0,180,28
0,181,27
0,182,30
0,183,31
0,184,20
0,185,25
0,186,22
0,187,21
0,188,22
0,189,13
0,190,14
0,191,11
0,192,12
0,193,6
0,194,8
0,195,8
0,196,1
0,197,3
0,198,7
0,199,0
0,200,15
0,201,78
0,202,42
0,203,14
0,204,22
0,205,36
0,206,38
0,207,38
0,208,37
0,209,22
0,210,33
0,211,21
0,212,35
0,213,33
0,214,33
0,215,27
0,216,33
0,217,35
0,218,33
0,219,30
0,220,26
0,221,28
0,222,26
0,223,27
0,224,27
0,225,23
0,226,16
0,227,18
0,228,19
0,229,13
0,230,6
0,231,13
0,232,7
0,233,15
0,234,17
0,235,8
0,236,7
0,237,-5
0,238,-16
0,239,10
0,240,2
0,241,118
0,242,43
0,243,20
0,244,30
0,245,18
0,246,31
0,247,22
0,248,28
0,249,28
0,250,26
0,251,39
0,252,30
0,253,37
0,254,31
0,255,36
0,256,33
0,257,31
0,258,31
0,259,32
0,260,30
0,261,27
0,262,28
0,263,26
0,264,23
0,265,27
0,266,24
0,267,19
0,268,19
0,269,16
0,270,17
0,271,13
0,272,8
0,273,9
0,274,11
0,275,3
0,276,9
0,277,2
0,278,5
0,279,3
0,280,23
0,281,110
0,282,33
0,283,30
0,284,26
0,285,24
0,286,37
0,287,34
0,288,36
0,289,29
0,290,30
0,291,31
0,292,34
0,293,28
0,294,35
0,295,30
0,296,30
0,297,35
0,298,34
0,299,33
0,300,33
0,301,34
0,302,27
0,303,28
0,304,26
0,305,22
0,306,16
0,307,21
0,308,14
0,309,15
0,310,15
0,311,8
0,312,8
0,313,10
0,314,10
0,315,6
0,316,5
0,317,-1
0,318,10
0,319,0
0,320,18
0,321,98
0,322,43
0,323,34
0,324,19
0,325,14
0,326,30
0,327,31
0,328,31
0,329,22
0,330,34
0,331,46
0,332,45
0,333,36
0,334,32
0,335,38
0,336,34
0,337,32
0,338,36
0,339,31
0,340,29
0,341,28
0,342,28
0,343,30
0,344,22
0,345,24
0,346,22
0,347,19
0,348,18
0,349,21
0,350,24
0,351,8
0,352,2
0,353,8
0,354,10
0,355,3
0,356,0
0,357,-6
0,358,18
0,359,10
0,360,8
0,361,95
0,362,31
0,363,42
0,364,20
0,365,30
0,366,31
0,367,32
0,368,37
0,369,35
0,370,35
0,371,36
0,372,32
0,373,35
0,374,34
0,375,38
0,376,38
0,377,31
0,378,33
0,379,29
0,380,29
0,381,28
0,382,27
0,383,28
0,384,26
0,385,25
0,386,28
0,387,18
0,388,19
0,389,16
0,390,18
0,391,12
0,392,14
0,393,8
0,394,9
0,395,2
0,396,8
0,397,-4
0,398,13
0,399,2
0,400,9
0,401,82
0,402,46
0,403,32
0,404,25
0,405,37
0,406,27
0,407,41
0,408,27
0,409,34
0,410,28
0,411,37
0,412,36
0,413,31
0,414,30
0,415,40
0,416,32
0,417,29
0,418,34
0,419,24
0,420,29
0,421,32
0,422,21
0,423,31
0,424,22
0,425,22
0,426,26
0,427,16
0,428,14
0,429,16
0,430,17
0,431,7
0,432,12
0,433,6
0,434,15
0,435,0
0,436,5
0,437,0
0,438,2
0,439,9
0,440,1
0,441,98
0,442,46
0,443,13
0,444,38
0,445,33
0,446,19
0,447,12
0,448,27
0,449,33
0,450,35
0,451,38
0,452,39
0,453,39
0,454,36
0,455,39
0,456,32
0,457,34
0,458,34
0,459,28
0,460,29
0,461,29
0,462,24
0,463,29
0,464,24
0,465,25
0,466,22
0,467,22
0,468,18
0,469,16
0,470,16
0,471,13
0,472,11
0,473,9
0,474,5
0,475,0
0,476,23
0,477,12
0,478,-3
0,479,7
0,480,21
0,481,106
0,482,52
0,483,35
0,484,33
0,485,26
0,486,42
0,487,30
0,488,36
0,489,32
0,490,32
0,491,36
0,492,33
0,493,36
0,494,38
0,495,30
0,496,34
0,497,29
0,498,33
0,499,30
0,500,34
0,501,30
0,502,30
0,503,23
0,504,25
0,505,20
0,506,21
0,507,24
0,508,22
0,509,15
0,510,15
0,511,13
0,512,5
0,513,13
0,514,4
0,515,7
0,516,6
0,517,-2
0,518,9
0,519,9
0,520,8
0,521,100
0,522,53
0,523,24
0,524,24
0,525,34
0,526,30
0,527,29
0,528,32
0,529,35
0,530,29
0,531,34
0,532,35
0,533,37
0,534,34
0,535,27
0,536,36
0,537,34
0,538,28
0,539,27
0,540,33
0,541,28
0,542,27
0,543,25
0,544,26
0,545,28
0,546,17
0,547,19
0,548,25
0,549,17
0,550,14
0,551,8
0,552,10
0,553,14
0,554,1
0,555,11
0,556,4
0,557,6
0,558,-3
0,559,21
0,560,11
0,561,115
0,562,49
0,563,26
0,564,7
0,565,18
0,566,30
0,567,32
0,568,35
0,569,38
0,570,35
0,571,29
0,572,39
0,573,36
0,574,33
0,575,33
0,576,36
0,577,32
0,578,28
0,579,30
0,580,33
0,581,28
0,582,28
0,583,22
0,584,24
0,585,28
0,586,20
0,587,22
0,588,18
0,589,19
0,590,13
0,591,9
0,592,16
0,593,12
0,594,3
0,595,9
0,596,-2
0,597,0
0,598,3
0,599,25
0,600,15
0,601,85
0,602,30
0,603,17
0,604,18
0,605,13
0,606,35
0,607,28
0,608,36
0,609,34
0,610,42
0,611,27
0,612,37
0,613,35
0,614,33
0,615,35
0,616,35
0,617,37
0,618,33
0,619,33
0,620,33
0,621,31
0,622,30
0,623,28
0,624,28
0,625,25
0,626,22
0,627,18
0,628,20
0,629,17
0,630,13
0,631,11
0,632,19
0,633,5
0,634,2
0,635,10
0,636,0
0,637,-5
0,638,19
0,639,2
0,640,27
0,641,88
0,642,47
0,643,22
0,644,44
0,645,27
0,646,32
0,647,40
0,648,34
0,649,36
0,650,34
0,651,40
0,652,34
0,653,35
0,654,33
0,655,37
0,656,35
0,657,34
0,658,33
0,659,31
0,660,33
0,661,32
0,662,27
0,663,29
0,664,27
0,665,25
0,666,23
0,667,17
0,668,18
0,669,14
0,670,19
0,671,9
0,672,10
0,673,10
0,674,11
0,675,8
0,676,-3
0,677,12
0,678,-2
0,679,2
0,680,8
0,681,120
0,682,41
0,683,23
0,684,26
0,685,22
0,686,29
0,687,30
0,688,24
0,689,27
0,690,41
0,691,36
0,692,34
0,693,29
0,694,37
0,695,35
0,696,34
0,697,29
0,698,37
0,699,36
0,700,34
0,701,30
0,702,33
0,703,30
0,704,22
0,705,23
0,706,24
0,707,22
0,708,13
0,709,17
0,710,15
0,711,19
0,712,6
0,713,3
0,714,7
0,715,11
0,716,-1
0,717,3
0,718,3
0,719,2
0,720,22
0,721,90
0,722,35
0,723,32
0,724,28
0,725,21
0,726,35
0,727,24
0,728,36
0,729,30
0,730,35
0,731,33
0,732,34
0,733,30
0,734,36
0,735,31
0,736,34
0,737,32
0,738,31
0,739,27
0,740,33
0,741,30
0,742,26
0,743,25
0,744,27
0,745,26
0,746,21
0,747,20
0,748,20
0,749,10
0,750,22
0,751,10
0,752,11
0,753,10
0,754,4
0,755,1
0,756,7
0,757,-2
0,758,6
0,759,5
0,760,7
0,761,80
0,762,44
0,763,31
0,764,30
0,765,31
0,766,36
0,767,30
0,768,37
0,769,30
0,770,37
0,771,40
0,772,42
0,773,31
0,774,34
0,775,31
0,776,37
0,777,28
0,778,32
0,779,32
0,780,32
0,781,29
0,782,30
0,783,27
0,784,23
0,785,26
0,786,24
0,787,20
0,788,16
0,789,23
0,790,19
0,791,14
0,792,5
0,793,13
0,794,8
0,795,7
0,796,11
0,797,1
0,798,4
0,799,9
0,800,1
0,801,73
0,802,57
0,803,34
0,804,20
0,805,35
0,806,40
0,807,37
0,808,32
0,809,36
0,810,33
0,811,32
0,812,32
0,813,38
0,814,35
0,815,24
0,816,37
0,817,34
0,818,34
0,819,33
0,820,33
0,821,31
0,822,29
0,823,26
0,824,23
0,825,25
0,826,13
0,827,20
0,828,22
0,829,17
0,830,11
0,831,16
0,832,12
0,833,10
0,834,9
0,835,10
0,836,9
0,837,-7
0,838,7
0,839,22
0,840,-4
0,841,110
0,842,64
0,843,48
0,844,32
0,845,31
0,846,24
0,847,26
0,848,30
0,849,41
0,850,35
0,851,29
0,852,35
0,853,36
0,854,37
0,855,31
0,856,32
0,857,35
0,858,30
0,859,30
0,860,34
0,861,28
0,862,28
0,863,21
0,864,26
0,865,20
0,866,18
0,867,21
0,868,21
0,869,17
0,870,13
0,871,16
0,872,22
0,873,9
0,874,5
0,875,4
0,876,6
0,877,10
0,878,8
0,879,28
0,880,5
0,881,125
0,882,71
0,883,56
0,884,56
0,885,48
0,886,29
0,887,40
0,888,45
0,889,50
0,890,43
0,891,47
0,892,45
0,893,29
0,894,37
0,895,32
0,896,32
0,897,34
0,898,28
0,899,34
0,900,33
0,901,32
0,902,27
0,903,25
0,904,23
0,905,27
0,906,21
0,907,21
0,908,17
0,909,21
0,910,26
0,911,15
0,912,18
0,913,11
0,914,10
0,915,-1
0,916,13
0,917,21
0,918,9
0,919,17
0,920,5
0,921,112
0,922,61
0,923,66
0,924,62
0,925,49
0,926,42
0,927,49
0,928,46
0,929,51
0,930,46
0,931,47
0,932,52
0,933,26
0,934,39
0,935,37
0,936,33
0,937,36
0,938,29
0,939,32
0,940,31
0,941,29
0,942,28
0,943,25
0,944,27
0,945,27
0,946,22
0,947,26
0,948,14
0,949,26
0,950,29
0,951,12
0,952,18
0,953,15
0,954,16
0,955,8
0,956,12
0,957,16
0,958,12
0,959,1
0,960,-8
0,961,113
0,962,61
0,963,70
