id,n,magnitude
0,1,11
0,2,14
0,3,17
0,4,22
0,5,26
0,6,17
0,7,8
0,8,19
0,9,28
0,10,26
0,11,22
0,12,12
0,13,23
0,14,29
0,15,28
0,16,27
0,17,26
0,18,27
0,19,30
0,20,27
0,21,27
0,22,26
0,23,31
0,24,28
0,25,24
0,26,26
0,27,27
0,28,23
0,29,22
0,30,26
0,31,19
0,32,21
0,33,21
0,34,24
0,35,24
0,36,25
0,37,26
0,38,25
0,39,28
0,40,28
0,41,24
0,42,19
0,43,16
0,44,19
0,45,29
0,46,31
0,47,24
0,48,16
0,49,17
0,50,17
0,51,16
0,52,21
0,53,15
0,54,25
0,55,26
0,56,32
0,57,29
0,58,27
0,59,22
0,60,27
0,61,26
0,62,30
0,63,27
0,64,19
0,65,25
0,66,22
0,67,23
0,68,23
0,69,24
0,70,29
0,71,22
0,72,23
0,73,27
0,74,25
0,75,26
0,76,24
0,77,24
0,78,27
0,79,27
0,80,29
0,81,22
0,82,14
0,83,6
0,84,21
0,85,30
0,86,26
0,87,17
0,88,23
0,89,30
0,90,27
0,91,16
0,92,24
0,93,19
0,94,27
0,95,27
0,96,23
0,97,25
0,98,24
0,99,28
0,100,27
0,101,31
0,102,27
0,103,29
0,104,29
0,105,25
0,106,24
0,107,25
0,108,19
0,109,25
0,110,21
0,111,19
0,112,24
0,113,23
0,114,23
0,115,21
0,116,20
0,117,22
0,118,25
0,119,24
0,120,25
0,121,21
0,122,12
0,123,19
0,124,24
0,125,29
0,126,19
0,127,7
0,128,18
0,129,24
0,130,23
0,131,22
0,132,25
0,133,16
0,134,23
0,135,26
0,136,31
0,137,25
0,138,25
0,139,25
0,140,22
0,141,31
0,142,26
0,143,29
0,144,25
0,145,26
0,146,24
0,147,20
0,148,16
0,149,21
0,150,21
0,151,26
0,152,26
0,153,21
0,154,24
0,155,25
0,156,26
0,157,23
0,158,21
0,159,26
0,160,26
0,161,20
0,162,21
0,163,21
0,164,20
0,165,28
0,166,25
0,167,13
0,168,20
0,169,21
0,170,20
0,171,16
0,172,19
0,173,13
0,174,20
0,175,28
0,176,28
0,177,22
0,178,17
0,179,25
0,180,20
0,181,27
0,182,26
0,183,31
0,184,25
0,185,27
0,186,22
0,187,21
0,188,20
0,189,24
0,190,28
0,191,25
0,192,24
0,193,22
0,194,23
0,195,24
0,196,26
0,197,22
0,198,23
0,199,24
0,200,23
0,201,19
0,202,19
0,203,24
0,204,9
0,205,30
0,206,29
0,207,16
0,208,16
0,209,22
0,210,21
0,211,20
0,212,16
0,213,13
0,214,20
0,215,30
0,216,28
0,217,23
0,218,21
0,219,28
0,220,21
0,221,21
0,222,26
0,223,29
0,224,28
0,225,25
0,226,23
0,227,22
0,228,26
0,229,27
0,230,26
0,231,24
0,232,23
0,233,25
0,234,24
0,235,24
0,236,21
0,237,21
0,238,23
0,239,23
0,240,23
0,241,9
0,242,13
0,243,20
0,244,24
0,245,29
0,246,22
0,247,13
0,248,15
0,249,22
0,250,18
0,251,17
0,252,9
0,253,17
0,254,26
0,255,22
0,256,23
0,257,23
0,258,22
0,259,27
0,260,27
0,261,30
0,262,29
0,263,29
0,264,27
0,265,23
0,266,24
0,267,24
0,268,24
0,269,26
0,270,26
0,271,25
0,272,25
0,273,26
0,274,24
0,275,25
0,276,24
0,277,21
0,278,23
0,279,23
0,280,23
0,281,24
0,282,20
0,283,12
0,284,19
0,285,24
0,286,29
0,287,15
0,288,18
0,289,25
0,290,19
0,291,25
0,292,18
0,293,31
0,294,29
0,295,24
0,296,21
0,297,22
0,298,29
0,299,27
0,300,23
0,301,30
0,302,26
0,303,30
0,304,27
0,305,26
0,306,27
0,307,21
0,308,23
0,309,27
0,310,26
0,311,24
0,312,25
0,313,24
0,314,26
0,315,22
0,316,24
0,317,23
0,318,22
0,319,23
0,320,23
0,321,21
0,322,13
0,323,29
0,324,30
0,325,31
0,326,31
0,327,27
0,328,30
0,329,22
0,330,25
0,331,24
0,332,26
0,333,22
0,334,30
0,335,30
0,336,32
0,337,29
0,338,28
0,339,27
0,340,25
0,341,30
0,342,31
0,343,31
0,344,30
0,345,24
0,346,22
0,347,23
0,348,26
0,349,25
0,350,24
0,351,23
0,352,24
0,353,27
0,354,26
