id,n,magnitude
0,1,65
0,2,36
0,3,21
0,4,35
0,5,34
0,6,33
0,7,37
0,8,30
0,9,10
0,10,40
0,11,37
0,12,36
0,13,32
0,14,39
0,15,36
0,16,36
0,17,30
0,18,27
0,19,31
0,20,32
0,21,30
0,22,27
0,23,24
0,24,21
0,25,30
0,26,24
0,27,23
0,28,17
0,29,16
0,30,19
0,31,17
0,32,-4
0,33,5
0,34,19
0,35,9
0,36,4
0,37,7
0,38,-2
0,39,0
0,40,2
0,41,74
0,42,34
0,43,24
0,44,28
0,45,27
0,46,33
0,47,28
0,48,33
0,49,31
0,50,31
0,51,32
0,52,34
0,53,33
0,54,37
0,55,35
0,56,33
0,57,32
0,58,34
0,59,28
0,60,29
0,61,30
0,62,26
0,63,31
0,64,27
0,65,25
0,66,23
0,67,21
0,68,18
0,69,14
0,70,14
0,71,13
0,72,6
0,73,10
0,74,3
0,75,6
0,76,8
0,77,0
0,78,10
0,79,-1
0,80,11
0,81,85
0,82,27
0,83,38
0,84,32
0,85,40
0,86,32
0,87,35
0,88,28
0,89,29
0,90,25
0,91,31
0,92,26
0,93,31
0,94,32
0,95,33
0,96,29
0,97,36
0,98,36
0,99,35
0,100,35
0,101,32
0,102,33
0,103,27
0,104,28
0,105,18
0,106,23
0,107,20
0,108,17
0,109,14
0,110,13
0,111,15
0,112,6
0,113,14
0,114,12
0,115,11
0,116,12
0,117,4
0,118,4
0,119,-6
0,120,7
0,121,64
0,122,26
0,123,26
0,124,28
0,125,15
0,126,30
0,127,30
0,128,33
0,129,32
0,130,34
0,131,38
0,132,31
0,133,34
0,134,35
0,135,36
0,136,35
0,137,34
0,138,31
0,139,29
0,140,29
0,141,28
0,142,26
0,143,25
0,144,28
0,145,26
0,146,24
0,147,23
0,148,17
0,149,17
0,150,13
0,151,13
0,152,5
0,153,6
0,154,9
0,155,0
0,156,0
0,157,-4
0,158,8
0,159,-3
0,160,6
0,161,93
0,162,37
0,163,30
0,164,30
0,165,34
0,166,30
0,167,28
0,168,38
0,169,37
0,170,39
0,171,25
0,172,32
0,173,36
0,174,29
0,175,31
0,176,31
0,177,33
0,178,30
0,179,29
0,180,29
0,181,28
0,182,26
0,183,28
0,184,22
0,185,23
0,186,19
0,187,17
0,188,21
0,189,17
0,190,7
0,191,17
0,192,14
0,193,9
0,194,7
0,195,2
0,196,14
0,197,2
0,198,5
0,199,3
0,200,15
0,201,72
0,202,25
0,203,20
0,204,28
0,205,37
0,206,38
0,207,34
0,208,29
0,209,30
0,210,38
0,211,38
0,212,33
0,213,38
0,214,26
0,215,32
0,216,35
0,217,33
0,218,34
0,219,29
0,220,28
0,221,27
0,222,27
0,223,27
0,224,26
0,225,21
0,226,19
0,227,13
0,228,18
0,229,19
0,230,13
0,231,19
0,232,8
0,233,8
0,234,12
0,235,10
0,236,5
0,237,1
0,238,-4
0,239,-2
0,240,13
0,241,92
0,242,31
0,243,20
0,244,25
0,245,27
0,246,24
0,247,30
0,248,39
0,249,33
0,250,34
0,251,26
0,252,33
0,253,33
0,254,35
0,255,33
0,256,33
0,257,37
0,258,32
0,259,31
0,260,31
0,261,28
0,262,32
0,263,27
0,264,30
0,265,23
0,266,20
0,267,18
0,268,19
0,269,14
0,270,11
0,271,15
0,272,12
0,273,15
0,274,7
0,275,2
0,276,7
0,277,3
0,278,0
0,279,0
0,280,17
0,281,66
0,282,27
0,283,30
0,284,34
0,285,36
0,286,27
0,287,30
0,288,24
0,289,33
0,290,36
0,291,37
0,292,31
0,293,33
0,294,33
0,295,32
0,296,33
0,297,31
0,298,37
0,299,29
0,300,30
0,301,25
0,302,28
0,303,27
0,304,24
0,305,21
0,306,22
0,307,21
0,308,19
0,309,14
0,310,17
0,311,16
0,312,9
0,313,8
0,314,7
0,315,7
0,316,12
0,317,3
0,318,10
0,319,0
0,320,15
0,321,88
0,322,32
0,323,10
0,324,32
0,325,25
0,326,25
0,327,40
0,328,25
0,329,29
0,330,32
0,331,32
0,332,26
0,333,34
0,334,29
0,335,32
0,336,35
0,337,32
0,338,30
0,339,33
0,340,30
0,341,28
0,342,30
0,343,26
0,344,24
0,345,24
0,346,22
0,347,16
0,348,17
0,349,18
0,350,9
0,351,17
0,352,8
0,353,7
0,354,13
0,355,8
0,356,-2
0,357,10
0,358,-4
0,359,0
0,360,21
0,361,104
0,362,36
0,363,7
0,364,26
0,365,31
0,366,32
0,367,22
0,368,36
0,369,30
0,370,36
0,371,28
0,372,35
0,373,35
0,374,38
0,375,36
0,376,36
0,377,32
0,378,32
0,379,28
0,380,32
0,381,26
0,382,27
0,383,23
0,384,26
0,385,22
0,386,25
0,387,18
0,388,17
0,389,13
0,390,10
0,391,11
0,392,11
0,393,9
0,394,2
0,395,1
0,396,9
0,397,0
0,398,-5
0,399,1
0,400,28
0,401,101
0,402,39
0,403,23
0,404,30
0,405,31
0,406,27
0,407,45
0,408,30
0,409,39
0,410,24
0,411,30
0,412,30
0,413,27
0,414,35
0,415,31
0,416,34
0,417,30
0,418,36
0,419,29
0,420,32
0,421,31
0,422,27
0,423,27
0,424,26
0,425,21
0,426,21
0,427,19
0,428,14
0,429,13
0,430,13
0,431,7
0,432,15
0,433,8
0,434,11
0,435,5
0,436,-4
0,437,8
0,438,0
0,439,2
0,440,19
0,441,72
0,442,29
0,443,39
0,444,29
0,445,21
0,446,31
0,447,27
0,448,35
0,449,40
0,450,37
0,451,41
0,452,35
0,453,36
0,454,36
0,455,36
0,456,36
0,457,30
0,458,31
0,459,39
0,460,34
0,461,31
0,462,33
0,463,23
0,464,20
0,465,24
0,466,21
0,467,19
0,468,15
0,469,14
0,470,18
0,471,14
0,472,14
0,473,8
0,474,7
0,475,2
0,476,4
0,477,5
0,478,11
0,479,4
0,480,1
0,481,80
0,482,35
0,483,28
0,484,32
0,485,32
0,486,27
0,487,26
0,488,26
0,489,35
0,490,33
0,491,30
0,492,31
0,493,30
0,494,34
0,495,38
0,496,34
0,497,34
0,498,33
0,499,32
0,500,31
