id,n,magnitude
0,1,10
0,2,16
0,3,17
0,4,20
0,5,29
0,6,27
0,7,25
0,8,29
0,9,23
0,10,20
0,11,37
0,12,20
0,13,27
0,14,33
0,15,32
0,16,19
0,17,20
0,18,24
0,19,28
0,20,28
0,21,21
0,22,29
0,23,26
0,24,23
0,25,24
0,26,25
0,27,25
0,28,25
0,29,20
0,30,25
0,31,23
0,32,21
0,33,20
0,34,19
0,35,20
0,36,22
0,37,24
0,38,22
0,39,19
0,40,20
0,41,28
0,42,25
0,43,22
0,44,23
0,45,25
0,46,26
0,47,27
0,48,23
0,49,19
0,50,20
0,51,33
0,52,24
0,53,28
0,54,32
0,55,30
0,56,20
0,57,29
0,58,26
0,59,27
0,60,29
0,61,22
0,62,31
0,63,22
0,64,20
0,65,26
0,66,26
0,67,23
0,68,23
0,69,25
0,70,25
0,71,24
0,72,23
0,73,21
0,74,20
0,75,23
0,76,20
0,77,19
0,78,21
0,79,22
0,80,24
0,81,16
0,82,20
0,83,22
0,84,20
0,85,27
0,86,23
0,87,21
0,88,23
0,89,16
0,90,14
0,91,28
0,92,25
0,93,27
0,94,32
0,95,30
0,96,20
0,97,32
0,98,33
0,99,22
0,100,26
0,101,25
0,102,29
0,103,24
0,104,25
0,105,22
0,106,20
0,107,22
0,108,23
0,109,24
0,110,24
0,111,19
0,112,18
0,113,21
0,114,21
0,115,21
0,116,19
0,117,20
0,118,21
0,119,22
0,120,22
0,121,24
0,122,22
0,123,23
0,124,17
0,125,27
0,126,26
0,127,28
0,128,25
0,129,4
0,130,18
0,131,33
0,132,27
0,133,22
0,134,30
0,135,26
0,136,15
0,137,34
0,138,28
0,139,20
0,140,29
0,141,20
0,142,24
0,143,23
0,144,24
0,145,20
0,146,20
0,147,22
0,148,20
0,149,24
0,150,21
0,151,21
0,152,21
0,153,20
0,154,22
0,155,20
0,156,16
0,157,22
0,158,20
0,159,20
0,160,19
0,161,15
0,162,24
0,163,21
0,164,18
0,165,27
0,166,27
0,167,27
0,168,24
0,169,19
0,170,17
0,171,32
0,172,23
0,173,25
0,174,32
0,175,30
0,176,16
0,177,32
0,178,26
0,179,25
0,180,30
0,181,22
0,182,27
0,183,21
0,184,21
0,185,20
0,186,23
0,187,22
0,188,22
0,189,25
0,190,23
0,191,20
0,192,21
0,193,22
0,194,22
0,195,22
0,196,21
0,197,21
0,198,20
0,199,20
0,200,20
0,201,22
0,202,13
0,203,16
0,204,14
0,205,18
0,206,26
0,207,29
0,208,24
0,209,21
0,210,17
0,211,31
0,212,20
0,213,24
0,214,30
0,215,28
0,216,21
0,217,30
0,218,25
0,219,23
0,220,29
0,221,23
0,222,26
0,223,25
0,224,25
0,225,24
0,226,19
0,227,23
0,228,23
0,229,20
0,230,22
0,231,23
0,232,21
0,233,20
0,234,22
0,235,23
0,236,22
0,237,19
0,238,20
0,239,21
0,240,23
0,241,15
0,242,23
0,243,22
0,244,14
0,245,17
0,246,15
0,247,24
0,248,25
0,249,21
0,250,24
0,251,32
0,252,24
0,253,28
0,254,31
0,255,34
0,256,25
0,257,29
0,258,26
0,259,25
0,260,30
0,261,21
0,262,23
0,263,21
