id,n,magnitude
0,1,108
0,2,78
0,3,58
0,4,75
0,5,86
0,6,71
0,7,60
0,8,56
0,9,66
0,10,77
0,11,58
0,12,56
0,13,40
0,14,49
0,15,49
0,16,50
0,17,33
0,18,35
0,19,35
0,20,31
0,21,29
0,22,30
0,23,30
0,24,25
0,25,36
0,26,36
0,27,28
0,28,23
0,29,27
0,30,35
0,31,29
0,32,30
0,33,6
0,34,17
0,35,22
0,36,29
0,37,21
0,38,-3
0,39,20
0,40,-4
0,41,-128
0,42,80
0,43,62
0,44,80
0,45,86
0,46,70
0,47,67
0,48,67
0,49,78
0,50,65
0,51,61
0,52,46
0,53,41
0,54,47
0,55,44
0,56,46
0,57,29
0,58,36
0,59,33
0,60,30
0,61,31
0,62,28
0,63,31
0,64,24
0,65,34
0,66,36
0,67,27
0,68,25
0,69,21
0,70,35
0,71,28
0,72,33
0,73,21
0,74,15
0,75,16
0,76,25
0,77,22
0,78,-3
0,79,17
0,80,0
0,81,104
0,82,80
0,83,62
0,84,65
0,85,90
0,86,68
0,87,61
0,88,66
0,89,79
0,90,56
0,91,52
0,92,55
0,93,40
0,94,40
0,95,39
0,96,43
0,97,31
0,98,32
0,99,35
0,100,35
0,101,32
0,102,29
0,103,24
0,104,25
0,105,32
0,106,29
0,107,24
0,108,26
0,109,26
0,110,32
0,111,17
0,112,35
0,113,26
0,114,9
0,115,18
0,116,30
0,117,22
0,118,-3
0,119,30
0,120,-12
0,121,111
0,122,72
0,123,61
0,124,79
0,125,81
0,126,59
0,127,65
0,128,75
0,129,70
0,130,41
0,131,49
0,132,49
0,133,39
0,134,42
0,135,41
0,136,41
0,137,29
0,138,32
0,139,26
0,140,25
0,141,25
0,142,26
0,143,28
0,144,29
0,145,28
0,146,32
0,147,22
0,148,22
0,149,21
0,150,27
0,151,12
0,152,31
0,153,37
0,154,14
0,155,12
0,156,20
0,157,28
0,158,0
0,159,8
0,160,-3
0,161,101
0,162,59
0,163,51
0,164,73
0,165,70
0,166,49
0,167,58
0,168,73
0,169,56
0,170,39
0,171,44
0,172,43
0,173,37
0,174,44
0,175,41
0,176,36
0,177,33
0,178,35
0,179,31
0,180,27
0,181,29
0,182,26
0,183,30
0,184,27
0,185,23
0,186,28
0,187,25
0,188,22
0,189,19
0,190,23
0,191,15
0,192,23
0,193,32
0,194,19
0,195,-1
0,196,18
0,197,27
0,198,-2
0,199,8
0,200,3
0,201,125
0,202,72
0,203,46
0,204,72
0,205,73
0,206,44
0,207,65
0,208,64
0,209,44
0,210,28
0,211,39
0,212,36
0,213,36
0,214,36
0,215,41
0,216,36
0,217,28
0,218,36
0,219,32
0,220,29
0,221,29
0,222,27
0,223,29
0,224,22
0,225,23
0,226,28
0,227,22
0,228,17
0,229,13
0,230,21
0,231,7
