id,n,magnitude
0,1,25
0,2,16
0,3,23
0,4,27
0,5,39
0,6,34
0,7,24
0,8,23
0,9,19
0,10,22
0,11,27
0,12,33
0,13,33
0,14,30
0,15,26
0,16,21
0,17,19
0,18,19
0,19,25
0,20,31
0,21,27
0,22,29
0,23,32
0,24,30
0,25,28
0,26,28
0,27,25
0,28,21
0,29,22
0,30,26
0,31,23
0,32,28
0,33,29
0,34,27
0,35,25
0,36,21
0,37,21
0,38,23
0,39,23
0,40,21
0,41,16
0,42,21
0,43,25
0,44,29
0,45,33
0,46,34
0,47,24
0,48,24
0,49,26
0,50,22
0,51,23
0,52,30
0,53,29
0,54,24
0,55,27
0,56,26
0,57,28
0,58,26
0,59,32
0,60,25
0,61,23
0,62,27
0,63,32
0,64,33
0,65,26
0,66,29
0,67,27
0,68,23
0,69,24
0,70,29
0,71,24
0,72,24
0,73,25
0,74,26
0,75,23
0,76,21
0,77,23
0,78,22
0,79,22
0,80,21
0,81,26
0,82,19
0,83,20
0,84,23
0,85,34
0,86,29
0,87,21
0,88,30
0,89,29
0,90,24
0,91,23
0,92,32
0,93,30
0,94,24
0,95,27
0,96,27
0,97,29
0,98,26
0,99,28
0,100,23
0,101,22
0,102,31
0,103,31
0,104,33
0,105,29
0,106,28
0,107,25
0,108,24
0,109,24
0,110,26
0,111,26
0,112,27
0,113,26
0,114,25
0,115,21
0,116,21
0,117,21
0,118,20
0,119,17
0,120,21
0,121,15
0,122,24
0,123,28
0,124,27
0,125,34
0,126,32
0,127,25
0,128,26
0,129,27
0,130,24
0,131,24
0,132,28
0,133,34
0,134,26
0,135,25
0,136,26
0,137,26
0,138,17
0,139,32
0,140,25
0,141,25
0,142,28
0,143,32
0,144,27
0,145,23
0,146,23
0,147,25
0,148,29
0,149,27
0,150,27
0,151,28
0,152,26
0,153,23
0,154,24
0,155,22
0,156,22
0,157,22
0,158,21
0,159,22
0,160,22
0,161,10
0,162,18
0,163,25
0,164,24
0,165,30
0,166,25
0,167,17
0,168,22
0,169,25
0,170,24
0,171,22
0,172,25
0,173,33
0,174,25
0,175,19
0,176,25
0,177,28
0,178,25
0,179,34
0,180,28
0,181,21
0,182,30
0,183,32
0,184,31
0,185,27
0,186,27
0,187,25
0,188,26
0,189,26
0,190,26
0,191,26
0,192,23
0,193,27
0,194,26
0,195,25
0,196,23
0,197,20
0,198,21
0,199,20
0,200,24
0,201,20
0,202,23
0,203,25
0,204,17
0,205,26
0,206,24
0,207,27
0,208,24
0,209,26
0,210,23
0,211,18
0,212,20
0,213,29
0,214,27
0,215,24
0,216,16
0,217,26
0,218,27
0,219,26
0,220,23
0,221,21
0,222,31
0,223,35
0,224,34
0,225,28
0,226,26
0,227,26
0,228,24
0,229,28
0,230,26
0,231,21
0,232,27
0,233,28
0,234,26
0,235,25
0,236,22
0,237,22
0,238,23
0,239,21
0,240,24
0,241,22
0,242,17
0,243,23
0,244,19
0,245,22
0,246,21
0,247,21
0,248,24
0,249,26
0,250,20
0,251,18
0,252,27
0,253,31
0,254,23
0,255,24
0,256,18
0,257,24
0,258,27
0,259,29
0,260,26
0,261,23
0,262,31
0,263,28
0,264,31
0,265,31
0,266,26
0,267,25
0,268,26
0,269,26
0,270,24
0,271,23
0,272,27
0,273,26
0,274,26
0,275,21
0,276,21
0,277,20
0,278,21
0,279,18
0,280,22
0,281,27
0,282,17
0,283,21
0,284,19
0,285,29
0,286,23
0,287,14
0,288,15
0,289,22
0,290,19
0,291,21
0,292,31
0,293,32
0,294,24
0,295,16
0,296,21
0,297,26
0,298,26
0,299,28
0,300,30
0,301,27
0,302,30
0,303,31
0,304,28
0,305,27
0,306,25
0,307,25
0,308,25
0,309,24
0,310,27
0,311,24
0,312,22
0,313,23
0,314,23
0,315,21
0,316,21
0,317,22
0,318,22
0,319,19
0,320,20
0,321,29
0,322,25
0,323,20
0,324,19
0,325,28
0,326,26
0,327,25
0,328,25
0,329,19
0,330,18
0,331,25
0,332,32
0,333,32
0,334,29
0,335,23
0,336,19
0,337,30
0,338,25
0,339,30
0,340,33
0,341,30
0,342,32
0,343,33
0,344,29
0,345,26
0,346,28
0,347,28
0,348,26
0,349,25
0,350,25
0,351,24
0,352,23
0,353,23
0,354,24
0,355,25
0,356,22
0,357,22
0,358,23
0,359,21
0,360,23
0,361,21
0,362,21
0,363,22
0,364,19
0,365,28
0,366,24
0,367,18
0,368,26
0,369,26
0,370,23
0,371,24
0,372,28
0,373,32
0,374,29
0,375,26
0,376,17
0,377,27
0,378,24
0,379,30
0,380,33
0,381,26
0,382,32
0,383,30
0,384,27
0,385,27
0,386,26
0,387,29
0,388,23
0,389,23
0,390,28
0,391,24
0,392,25
0,393,26
0,394,23
0,395,22
0,396,19
0,397,22
0,398,21
0,399,21
0,400,22
0,401,23
0,402,22
0,403,18
0,404,21
0,405,27
0,406,23
0,407,18
0,408,11
0,409,25
0,410,16
0,411,16
0,412,27
0,413,30
0,414,23
0,415,21
0,416,22
0,417,27
0,418,26
0,419,31
0,420,35
0,421,31
0,422,28
0,423,27
0,424,28
0,425,25
0,426,25
0,427,30
0,428,25
0,429,23
0,430,26
0,431,25
0,432,26
0,433,22
0,434,23
0,435,20
0,436,23
0,437,24
0,438,22
0,439,22
0,440,21
0,441,27
0,442,19
0,443,21
0,444,26
0,445,31
0,446,26
0,447,25
0,448,10
0,449,12
0,450,20
0,451,20
0,452,31
0,453,32
0,454,23
0,455,23
0,456,22
0,457,25
0,458,26
0,459,30
0,460,33
0,461,25
0,462,22
0,463,32
0,464,33
0,465,28
0,466,32
0,467,25
0,468,22
0,469,28
0,470,28
0,471,23
0,472,25
0,473,25
0,474,24
0,475,23
0,476,24
0,477,23
0,478,22
0,479,21
0,480,21
0,481,17
0,482,17
0,483,18
0,484,27
0,485,31
0,486,31
0,487,28
0,488,16
0,489,16
0,490,18
0,491,19
0,492,30
0,493,30
0,494,25
0,495,26
0,496,24
0,497,25
0,498,29
0,499,32
0,500,30
0,501,27
0,502,27
0,503,30
0,504,32
0,505,26
0,506,27
0,507,28
0,508,28
0,509,23
0,510,22
0,511,24
0,512,25
0,513,25
0,514,23
0,515,20
0,516,22
0,517,24
0,518,23
0,519,26
0,520,21
0,521,27
0,522,19
0,523,20
0,524,21
0,525,27
0,526,28
0,527,23
0,528,25
0,529,23
0,530,20
0,531,18
0,532,31
0,533,31
0,534,21
0,535,28
0,536,25
0,537,28
0,538,26
0,539,32
0,540,30
0,541,22
0,542,30
0,543,30
0,544,34
0,545,32
0,546,29
0,547,24
0,548,22
0,549,24
0,550,25
0,551,23
0,552,22
0,553,23
0,554,23
0,555,23
0,556,24
0,557,24
0,558,24
0,559,24
0,560,23
0,561,24
0,562,25
0,563,21
0,564,17
0,565,28
0,566,24
0,567,24
0,568,22
0,569,21
0,570,20
0,571,22
0,572,33
0,573,32
0,574,20
0,575,23
0,576,19
0,577,24
0,578,18
0,579,28
0,580,32
0,581,26
0,582,28
0,583,34
0,584,37
0,585,28
0,586,28
0,587,22
0,588,23
0,589,25
0,590,23
0,591,22
0,592,22
0,593,24
0,594,22
0,595,23
0,596,19
0,597,22
0,598,22
0,599,24
0,600,23
0,601,11
0,602,21
0,603,22
0,604,15
0,605,29
0,606,25
0,607,19
0,608,15
0,609,29
0,610,25
0,611,19
0,612,31
0,613,29
0,614,25
0,615,28
0,616,14
0,617,27
0,618,29
0,619,28
0,620,27
0,621,28
0,622,33
0,623,33
0,624,34
0,625,29
0,626,30
0,627,23
0,628,24
0,629,23
0,630,29
0,631,25
0,632,26
0,633,22
0,634,25
0,635,24
0,636,22
0,637,20
0,638,23
0,639,22
0,640,21
0,641,20
0,642,24
0,643,23
0,644,18
0,645,28
0,646,28
0,647,25
0,648,24
0,649,26
0,650,16
0,651,18
0,652,31
0,653,31
0,654,27
0,655,31
0,656,25
0,657,19
0,658,20
0,659,30
0,660,27
0,661,30
0,662,26
0,663,22
0,664,26
0,665,29
0,666,30
0,667,24
0,668,24
0,669,20
0,670,25
0,671,23
0,672,25
0,673,21
0,674,22
0,675,24
0,676,21
0,677,23
0,678,22
0,679,22
0,680,19
0,681,22
0,682,24
0,683,24
0,684,15
0,685,16
0,686,20
0,687,25
0,688,21
0,689,20
0,690,23
0,691,20
0,692,23
0,693,30
0,694,25
0,695,28
0,696,20
0,697,18
0,698,27
0,699,28
0,700,25
0,701,27
0,702,30
0,703,26
0,704,32
0,705,32
0,706,29
0,707,24
0,708,22
0,709,23
0,710,22
0,711,23
0,712,24
0,713,21
0,714,21
0,715,21
0,716,21
0,717,21
0,718,23
0,719,24
0,720,24
0,721,16
0,722,21
0,723,17
0,724,20
0,725,20
0,726,17
0,727,23
0,728,23
0,729,16
0,730,22
0,731,23
0,732,24
0,733,27
0,734,25
0,735,28
0,736,17
0,737,18
0,738,19
0,739,21
0,740,21
0,741,25
0,742,26
0,743,28
0,744,29
0,745,27
0,746,25
0,747,24
0,748,24
0,749,25
0,750,23
0,751,23
0,752,22
0,753,22
0,754,24
0,755,23
0,756,24
0,757,21
0,758,21
0,759,24
0,760,23
0,761,27
0,762,28
0,763,26
0,764,21
0,765,27
0,766,21
0,767,17
0,768,23
0,769,20
0,770,14
0,771,17
0,772,28
0,773,25
0,774,27
0,775,22
0,776,17
0,777,22
0,778,24
0,779,24
0,780,25
0,781,24
0,782,27
0,783,25
0,784,29
0,785,25
0,786,22
0,787,23
0,788,27
0,789,24
0,790,22
0,791,25
0,792,22
0,793,23
0,794,23
0,795,23
0,796,24
0,797,20
0,798,20
0,799,19
0,800,20
0,801,26
0,802,17
0,803,12
0,804,13
0,805,31
0,806,24
0,807,25
0,808,28
0,809,25
0,810,20
0,811,22
0,812,27
0,813,24
0,814,24
0,815,22
0,816,23
0,817,22
0,818,18
0,819,22
0,820,24
0,821,25
0,822,31
0,823,25
0,824,29
0,825,27
0,826,26
0,827,21
0,828,24
0,829,22
0,830,20
0,831,23
0,832,21
0,833,23
0,834,21
0,835,22
0,836,23
0,837,22
0,838,21
0,839,23
0,840,18
0,841,25
0,842,27
0,843,26
0,844,25
0,845,36
0,846,24
0,847,18
0,848,22
0,849,24
0,850,17
0,851,18
0,852,30
0,853,29
0,854,22
0,855,25
0,856,13
0,857,23
0,858,23
0,859,29
0,860,24
0,861,27
0,862,25
