id,n,magnitude
0,1,87
0,2,29
0,3,27
0,4,13
0,5,17
0,6,18
0,7,26
0,8,30
0,9,31
0,10,39
0,11,30
0,12,32
0,13,31
0,14,33
0,15,34
0,16,31
0,17,33
0,18,32
0,19,34
0,20,30
0,21,31
0,22,28
0,23,27
0,24,22
0,25,24
0,26,18
0,27,23
0,28,15
0,29,19
0,30,17
0,31,17
0,32,15
0,33,2
0,34,8
0,35,-8
0,36,6
0,37,-5
0,38,8
0,39,3
0,40,8
0,41,80
0,42,38
0,43,26
0,44,19
0,45,24
0,46,28
0,47,21
0,48,40
0,49,32
0,50,24
0,51,29
0,52,36
0,53,29
0,54,31
0,55,38
0,56,36
0,57,32
0,58,32
0,59,32
0,60,32
0,61,27
0,62,28
0,63,25
0,64,22
0,65,26
0,66,23
0,67,16
0,68,11
0,69,19
0,70,11
0,71,10
0,72,12
0,73,19
0,74,5
0,75,2
0,76,7
0,77,1
0,78,-1
0,79,11
0,80,4
0,81,63
0,82,23
0,83,5
0,84,25
0,85,29
0,86,26
0,87,37
0,88,31
0,89,39
0,90,34
0,91,30
0,92,34
0,93,27
0,94,37
0,95,36
0,96,31
0,97,33
0,98,36
0,99,34
0,100,27
0,101,26
0,102,31
0,103,29
0,104,23
0,105,20
0,106,22
0,107,22
0,108,10
0,109,16
0,110,11
0,111,16
0,112,16
0,113,8
0,114,8
0,115,3
0,116,0
0,117,-1
0,118,-22
0,119,2
0,120,11
0,121,108
0,122,37
0,123,32
0,124,24
0,125,31
0,126,32
0,127,27
0,128,19
0,129,38
0,130,37
0,131,28
0,132,36
0,133,32
0,134,35
0,135,28
0,136,39
0,137,32
0,138,34
0,139,31
0,140,31
0,141,29
0,142,29
0,143,28
0,144,24
0,145,25
0,146,18
0,147,14
0,148,21
0,149,17
0,150,17
0,151,14
0,152,21
0,153,3
0,154,0
0,155,19
0,156,7
0,157,8
0,158,9
0,159,9
0,160,18
0,161,80
0,162,40
0,163,34
0,164,22
0,165,35
0,166,37
0,167,29
0,168,30
0,169,26
0,170,35
0,171,24
0,172,29
0,173,30
0,174,37
0,175,31
0,176,33
0,177,33
0,178,28
0,179,29
0,180,33
0,181,31
0,182,25
0,183,22
0,184,25
0,185,24
0,186,18
0,187,20
0,188,16
0,189,10
0,190,8
0,191,14
0,192,9
0,193,6
0,194,14
0,195,10
0,196,15
0,197,-3
0,198,6
0,199,5
0,200,0
0,201,100
0,202,50
0,203,25
0,204,32
0,205,38
0,206,27
0,207,19
0,208,23
0,209,32
0,210,40
0,211,26
0,212,29
0,213,32
0,214,36
0,215,30
0,216,37
0,217,31
0,218,35
0,219,30
0,220,32
0,221,31
0,222,27
0,223,30
0,224,24
0,225,25
0,226,17
0,227,19
0,228,19
0,229,11
0,230,12
0,231,18
0,232,13
0,233,3
0,234,0
0,235,8
0,236,15
0,237,4
0,238,-2
0,239,8
0,240,11
0,241,97
0,242,40
0,243,23
0,244,7
0,245,30
0,246,35
0,247,29
0,248,33
0,249,31
0,250,31
0,251,29
0,252,38
0,253,40
0,254,37
0,255,34
0,256,31
0,257,31
0,258,33
0,259,30
0,260,29
0,261,28
0,262,29
0,263,27
0,264,27
0,265,21
0,266,24
0,267,25
0,268,23
0,269,19
0,270,12
0,271,11
0,272,9
0,273,12
0,274,6
0,275,8
0,276,10
0,277,-7
0,278,-1
0,279,20
0,280,13
0,281,82
0,282,40
0,283,25
0,284,13
0,285,27
0,286,29
0,287,35
0,288,36
0,289,28
0,290,30
0,291,36
0,292,32
0,293,33
0,294,31
0,295,38
0,296,33
0,297,35
0,298,32
0,299,30
0,300,31
0,301,30
0,302,26
0,303,28
0,304,25
0,305,23
0,306,25
0,307,19
0,308,18
0,309,18
0,310,15
0,311,11
0,312,9
0,313,11
0,314,15
0,315,3
0,316,4
0,317,-8
0,318,2
0,319,8
0,320,4
0,321,78
0,322,37
0,323,29
0,324,30
0,325,31
0,326,21
0,327,24
0,328,32
0,329,37
0,330,30
0,331,31
0,332,33
0,333,35
0,334,34
0,335,31
0,336,36
0,337,29
0,338,29
0,339,31
0,340,31
0,341,31
0,342,25
0,343,25
0,344,20
0,345,27
0,346,19
0,347,20
0,348,19
0,349,16
0,350,12
0,351,10
0,352,14
0,353,10
0,354,0
0,355,0
0,356,7
0,357,8
0,358,0
0,359,8
0,360,6
0,361,50
0,362,32
0,363,35
0,364,24
0,365,31
0,366,30
0,367,28
0,368,32
0,369,34
0,370,32
0,371,28
0,372,34
0,373,39
0,374,35
0,375,34
0,376,31
0,377,30
0,378,30
0,379,29
0,380,31
0,381,27
0,382,29
